Variety,2015-16,,2016-17,,"Percentage
changes
over
previous
year"
,"Area
(Acre)","Area
(Hectare)","Area
(Acre)","Area
(Hectare)",
Local,"1,70,439","68,973","1,83,413","74,223",(+) 7.612 %
High Yielding Variety,"10,04,539","4,05,515","10,51,458","4,25,502",(+) 4.929 %
Total,"11,74,978","4,75,488","12,34,871","4,99,725",(+) 5.097 %
