Name of the crop,Loss in production (M.tons/bales) by natural calamities,,Sidre,Total
,"Flood /Excessive Rainfal /
flash Flood/Rush of water","Cyclone/Hailstorn/Tornado/Tidal
bore",,
HYV Aus,7519,-,-,7519
HYV Aman,69816,-,-,69816
L.T. Aman,199,-,-,199
Lal-sak,5264,-,-,5264
Kharif Chilles,2542,-,-,2542
