Variety,2015-16,2016-17,"Percentage
changes over
previous year"
,"Total Production
(M.Ton)","Total Production
(M.Ton)",
Local Potato,"7,98,236","8,97,545",(+) 12.441 %
High Yielding Variety,"86,75,863","93,18,412",(+) 7.406 %
Total Potato,"94,74,098","102,15,957",(+) 7.830 %
