Source,"Area
(Ha)","Production
(MT)",%,MT/Ha,"Growth
Rate (%)"
Subsistence Fisheries,2317175,622521,81.29,0.269,1.83
Fry Released Program,166620,47178,6.16,0.283,9.41
Haor,228823,96083,12.55,0.420,2.85
Total,2712618,765782,100.00,0.282,2.79
