Trawler,,Boat,,Gear,
Type,No.,Type,No.,Type,No.
"Shrimp Trawler
Fish Trawler","37
210","MB (Mechanized Boat)
NMB (Non-Mechanized Boat)","32859
34810","Gill Net
Set Bag Net
Long Line
Trammel Net
Other Gear","132142
48452
1799
471
5843"
Total,247,,67669,,183707
