Commodity,Unit,2013-14,,2014-15,,2015-16,,2016-17,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
1205 Rape seed broken or not,Kg,52188953,2423317,25273838,1001275,276800918,9775443,144367726,5968433
"12075 Mustard seeds broken or
not",Kg,3808983,173770,2539748,331389,15735737,634159,16375469,692720
"120799 Oil seeds, other",Kg,1800,41,1600,64,3459,254,6143,260
"1208 Flours/meal of other oil
seeds nec",Kg,56148,4441,74861,5320,77211,3866,444707,23394
"12091Beet seed for sowing, other",Kg,6638,1019,20166,1888,3780,3533,2309,1262
12099Vegetable seeds for sowing,Kg,656757,480397,1091261,931071,1080921,1285454,1200010,1613596
"Seeds, for sowing other 120999",Kg,1131518,152985,3281349,298514,6326585,850364,6222852,1254570
"12112Plant & part etc use in
perfumery",Kg,53,3804,24044,8301,4051,17300,1054,9219
"121190Plant & part herb etc for
medicine",Kg,50000,1914,5487743,146041,3702978,22170,9010816,964067
"12119091 Plant & part for
insecticidal etc",Value,3208,297,2237,79,18357,965,85935,9900
"1302190 Vegetable saps &
extract: other",Kg,24996,21564,286200,52144,39899,77686,35674,92376
130231 Mucilages & thickners:,Kg,16609,23026,2360,35917,32940,47778,20533,19775
"14049091 Vegetable products,",kg,220,20,15520,1358,42811,3637,36355,3001
"other, nec degummed or not",kg,-,-,-,-,-,-,-,-
1507 Soyabean oil/,Kg,546809599,42902431,1084653120,72036226,1285331032,73169474,1675864708,106530180
fractions other,,,,,,,,,
1508 Groundnut oil/fraction,Kg,14980,6105,10400,4368,19947,7634,18045,6887
"159100 other Olive oil, virgin",Kg,157537,42719,36817,7788,125795,36611,138492,41145
15099000 Olive oil/fraction: other,Kg,268916,36921,461604,64766,427699,60153,422269,72894
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
15711000 Palm oil crude,Kg,466012880,30869065,97312424,6371386,56694548,3190400,2945438683,166538979
"1511900 Palm oil/fractions,other",Kg,1544152490,101457351,24795080,138166598,2993117641,144771641,78813090,4472918
15131100 Coconut (copra) oil/,Kg,4347276,386572,2247830,260546,2168329,209294,1282140,168077
75131900 fraction other,,,,,,,,,
15132100 Palm kernel or,Kg,4500809,445214,5250444,480059,11492689,878794,9733750,1195704
"babassu oil, crude",,,,,,,,,
15132900 Palm kernel/babasu,Kg,4038546,328854,7917446,635179,4007762,273446,5418364,611470
oil/frcton other,,,,,,,,,
15153000 Castor oil and its fraction,Kg,46196,17841,118099,38530,272721,53971,285091,75046
15155000 Sesame oil and its fraction,Kg,79709,11152,28164,3989,82130,9419,40048,4061
15162000 Veg fat oil/fraction hydrogenated,Kg,4057431,368939,5015983,492580,7900931,692474,1021969,1098658
15161000 Animal/veg oil fat boil oxid other,Kg,449460,19350,595564,25794,491507,20016,1195743,55703
1520 Glycerol (glycerine) crude,Liter,4,4,530,147,163,55,321,97
15211000 Vegetable waxes refine/colour or not,Kg,11590,6702,15725,8894,36760,16683,20869,9036
15219000 Beeswax and other insect waxs,Kg,18855,6045,3305,3929,9943,5421,11958,10006
17011400 Cane sugar raw not add flavor/color,M.ton,1712388,60062061,2077649338,62360680,2042599372,54416271,2436110,88554482
17011200 Beet sugar raw not add flavor/color,M.ton,80,3642,-,-,-,4,1,69
"17019900 Sugar cane/beet chem pure/solid
other",M.ton,8287,446343,10282369,509478,8575600,371880,14911,785752
"17021900 Sugar: Lactose, solid form",kg,61743,27157,60736,19514,34259,13312,100206,48737
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"17023090 Sugar
glucose solid <20%
fructose",Kg,2006334,91128,1587280,75981,1730127,72128,2202983,106165
"17026000 Sugar:
glucose syrup <=20%
fructose",Kg,238373,26567,3167,253,2055,344,1656,1146
"17024000 Sugar:
fructose/syrup 50% +
other",Kg,3050,255,22120,1206,65833,3688,29673,2118
"17041000 Chewing
gum (sugar coated or
not)",Kg,91279,10947,98671,13021,141835,17434,147393,27442
"1805Cocoa powder not
added sugar/sweet",Kg,649495,98712,687913,111715,918077,122112,1312722,177857
"1806 Chocolate/food
prep contain coca",Kg,1114137,166160,2032917,228188,3200975,575894,4219413,889626
"19011000 Malt/other
prep for infant/invalid",Kg,3103272,133110,5129863,2585305,6365534,2497608,7763546,2928948
"1901901 Malt extract
not for retail sale",Kg,434706,84300,198047,58486,3816161,554089,12560568,1950179
"1903 Tapioca subst
from potato, other",Kg,5371108,265534,526382,257044,7135677,346696,9333385,459989
"1905300 Sweet
biscuits,waffles &
wafers",Kg,118375,33663,117465,28013,134022,32851,187338,46785
"2006 Fruit nut fruit peel
prsrv by sugr",Kg,62077,4451,76225,4785,76737,5270,163268,14345
"2007 Jam fruit jelly
marma- led fruit cook",Kg,177652,19353,169639,18270,267762,29574,185769,47093
"20084-Pears prep/prsrv
/sugar or not",Kg,17677,1738,2500,116,2178,100,3862,781
"20091100 Orange juice
other nec",Liter,28626,6517,101428,12548,82993,8730,90363,15167
"20099000 Mixture of
fruit juice",Liter,367215,17374,572491,25860,728311,38876,819839,104483
2102100 Active yeasts,Kg,2959614,471385,4148140,620602,4385787,686594,4952787,763902
"102300Prepared baking
powders",Kg,84409,6970,130872,10736,210433,15929,401180,34048
"Sauces and
preparation, other",Kg,39998,6358,142617,107743,4554231,734973,267655,32932
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"2104 Soup homogenise
composite food prep",Kg,327954,76391,466453,102513,567482,114673,576738,131498
"2105 Ice cream/Ice
cont cocoa or not",Kg,43958,17391,54537,28443,68876,31843,27833,19760
"2106900 Food
preparation, other",Kg,5933371,2008553,23672595,3893028,10343215,4662944,5370497,1296924
"22019000-Water, nec",Liter,165203,8053,290427,13240,222446,10684,405546,20696
"22021000-Mineral
water cont
sugar/sweet/flvr",Liter,141500,14779,105291,11944,210124,16104,450435,36002
"2203000-Beer made
from malt",Liter,3239132,226354,3642452,269144,4791874,314000,4469634,237783
"22041000-Sparkling
wine",Liter,117898,42891,110538,40120,76463,18497,104682,26339
