SL.No,Items,Year,,,,,
,,2013-14,,2014-15,,2015-16,
,,Area in (`000`acre),,Area in (`000`acre),,Area in (`000`acre),
,,Acre,Hectare,Acre,Hectare,Acre,Hectare
1.,Net cropped Area,19581,7924,19596,7930,19636,7947
2.,Total Cropped Area,37573,15205,37674,15246,38148,15438
3.,Single Cropped Area,6054,2450,5819,2355,5566,2253
4.,Double Cropped Area,9085,3676,9507,3879,9671,3914
5.,Triple Cropped Area,4419,1788,4239,1715,4356,1763
6.,Quadruple Cropped Area,23,09,31,13,43,17
7.,Current Fallow Area,788,319,1040,421,1009,408
8.,Intensity of Cropping,192,78,192,78,194,79
9.,Total Irrigated area,18116,7331,18303,7407,18405,7448
10.,"Total Cereals
( `000’ M.ton)","37784
(M.ton)",,"38332
(M. ton)",,"38504
(M.ton)",
11.,Agriculture holding,15183183 (Agriculture census -2008),,,,,
