Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2017,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
193,",,",Green Papaya,"14,500","13,917","12,667","12,667","15,144","18,414","16,255","14,883","12,750","11,813","12,925","15,900",
,,,,,,,,,,,,,,,"14,320"
194,",,",Mukhi cachue,"6,393","6,708","6,231","6,314","6,517","7,017","7,069","7,126","7,171","8,371","8,368","7,803",
,,,,,,,,,,,,,,,"7,091"
195,",,",Water Aroid,"9,063","6,750",-,-,"6,940","8,638","8,475","8,100","8,050","7,650","11,467","10,144",
,,,,,,,,,,,,,,,"8,528"
196,",,",Kachur Loti,"1,648","1,490","1,521","1,650","1,706","1,786","1,931","1,980","2,065","1,907","1,936","1,826",
,,,,,,,,,,,,,,,"1,787"
197,",,",Kakroll,"1,111",991,"1,096","1,172","1,195","1,265","1,474","1,560","1,593","1,544","1,584","1,087",
,,,,,,,,,,,,,,,"1,306"
198,Vegetable :,Lady's Finger,"1,390","1,083","1,168","1,210","1,241","1,334","1,545","1,716","1,678","1,500","1,419","1,135",
,,,,,,,,,,,,,,,"1,368"
199,",,",Sosha,-,"1,775","1,604","1,316","1,406",-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,"1,525"
200,",,",Khirai,"1,940","2,017","2,293","2,585","2,968","3,372","2,917","3,980","4,160","5,033","4,363","2,829",
,,,,,,,,,,,,,,,"3,205"
201,",,",Beans,"2,610","3,188","3,990","3,436","2,832","1,855","1,913","3,365","3,319","3,792","3,615","2,767",
,,,,,,,,,,,,,,,"3,057"
202,",,",Barbati,"2,610","3,188","3,990","3,436","2,832","1,855","1,913","3,365","3,319","2,160","2,289","2,190",
,,,,,,,,,,,,,,,"2,762"
203,",,",Tomato Ripe,"1,652","1,540","1,417","1,378","1,468","1,467","1,563","1,964","2,289","2,628","2,578","2,327",
,,,,,,,,,,,,,,,"1,856"
204,",,",Motorshooti,"1,351","1,259","1,192","1,277","1,401","1,462","1,449","1,964","1,979","2,221","2,106","1,781",
,,,,,,,,,,,,,,,"1,620"
205,",,",Jinga,"3,582","4,592","3,453","3,243","3,271","3,077","3,625","5,375","5,491","5,553","4,871","3,841",
,,,,,,,,,,,,,,,"4,164"
206,",,",Chichinga,"2,991","3,480","3,266","2,976","2,978","2,685","3,160","4,558","4,104","4,664","4,259","3,161",
,,,,,,,,,,,,,,,"3,524"
207,",,",Dundol,"1,440","1,419","1,945","1,704","2,348","2,136","1,858","1,921","1,688","1,621","1,544","1,421",
,,,,,,,,,,,,,,,"1,754"
208,",,","Radish
Spinach","2,110","2,617","2,894","3,288","3,778","2,820","2,371","2,239","2,076","2,079","2,092","2,126",
,,,,,,,,,,,,,,,"2,541"
