Name of Crops,"Irrigated area
2015-2016","Irrigated area
2016-2017",Percentage of increase/decrease,
,,,2015-2016,2016-2017
Aman,2357,2496,(+)4.34%,(+)5.90%
Boro,11137,11240,(-)1.28%,(+)0.92%
Wheat,972,914,(+)0.10%,(-)5.97%
Sugarcane,135,135,0%,0%
Cotton,29,25,(-)9.38%,(-)13.79%
Potato,991,1082,(+)0.20%,(+)9..18%
Vagetables,1119,1169,(+)8.12%,(+)4.47%
Others,1665,1759,(+)4.13%,(+)5.65%
