Natural sponges of,Kg,-,-,-,-,-,-,-,-
animal origin,,,,,,,,,
05111000 Bovine animal semen,Kg,5000,14516,3500,831,7000,1105,30,1090
"05119100 Pot fish/crustacean etc
N/for human",Kg,1928136,147737,7161797,271458,8216539,281863,3395129,135280
"06011- Live plants, other incl.
their roots",Kg,-,-,-,-,-,-,-,-
"0701100 Potatoes fresh or chilled
seed",Kg,185810,15336,529429,406315,5632347,350420,5411703,4074978
"0701900 Potatoes fresh or
chilled: other",Kg,-,-,10800,431,2500,101,3852,157
"0702 Tomatoes, fresh or chilled",Kg,48406,1356,2876613,275953,22913579,641675,33311192,992403
07031019 Onion and shallots,Kg,43000995,733280,423410683,10667081,576093872,15352228,1098422078,14624833
07032090 Garlic,Kg,63228047,4126357,7489899,5013882,38219435,3733118536,54790264,6908369
"0707-Cucumber gherkin
fresh/chilled",Kg,670,22,3282,108,-,-,-,-
"0708-Peas (pisum sativum)
fresh/chill",Kg,19161,1215,16591,649,7881,387,76830,8374
"0709-Vegetable, fresh or chilled:
other",Value,24724,1277,1125826,42679,19042141,633895,11869669,406905
"0713-Peas shelled, skinned or
not",Kg,122314669,3959755,836631344,34701068,812119578,38254986,531363746,14809928
"071320-Chick peas shelled,
skinned or not",Kg,248114545,10227917,299947815,12505782,127488202,11970183,406791661,17918190
"07133-Beans dry shelled,
skinned or not",Kg,10653173,521513,247605,15796,487375,44544,1118831,80638
"07134-Lentils, dried, shelled",Kg,154446770,8757351,181387085,11335567,489375,44544,407727760,24474453
skin or not,,,,,,,,,
"07139-Leguminous Veg seeds,
dry shelled",Kg,144180,5236,444,23,60,9,258382,9407
"080131-Cashew nut fresh/ dry
shelld or not",Kg,22050,3489,51073,5965,32438,3441,43164,6274
"080211-Almonds, in shell",Kg,64412,11388,57805,7366,29574,4545,4620,6059
"080212-Almonds, shelled",Kg,514542,72933,386132,56044,821556,119797,828142,126835
