SL No,Name of the Irrigation Instrument,Number of the Instrument by,,
,,Electricity,Diesel,Total
1,Deep tube-well,32354,2321,34675
2,Shallow tube-well,286944,1112091,1399035
3,LLP,12296,147917,159213
4,"Others (Traditional like, Thone, Shauiti,
Hand tube-well, etc.)",-,-,98104
5,"Traktor,",-,12476,12476
6,Power-tellar,-,372744,372744
