Means of Irrigation,"Irrigated area
2015-16","Irrigated area 2016-
2017",Percentage of increase/decrease,
,,,2015-2016,2016-2017
Power Pump,3100,3103,(+)1.08%,(+)0.10%
Deep Tube-well,3023,3138,(+)1.65%,(+)3.80%
Shallow Tube-well,11447,11757,(+)0.17%,(+)2.71%
Hand Tube-well,47,41,(-)2.17%,(-)12.77%
Traditional,788,781,(-)1.25%,(-)0.89%
