"0709- Vegetable, fresh or chilled
other",Kg,745570,108443,1297986,178274,937942,160713,2327242,409742
"081090- Fruits, fresh, other",Kg,52720,18911,99230,36870,169134,57676,5000,80
"09021- Green tea, packing",Kg,18709,9390,2884,1397,4620,1863,1738,713
"09022- Green tea, other(not
fermented)",Kg,146232,59409,182724,78992,132025,58541,169084,79032
"0902300- Black tea packing not
exceeding 3 kg",Kg,358842,91761,194177,43929,299788,61023,460348,122550
090240- Tea nec,Kg,684711,109554,1105963,79687,10823,2617,1701930,166457
"0904- Chillies, dry",Kg,593685,150786,492774,118444,550474,95972,492322,77767
0909- Black cumin seeds,Kg,894293,78524,426485,47834,520709,50022,559626,133354
091030- Turmeric (curcuma),Kg,140599,18868,100826,20174,22805,5545,86297,30256
"Mixtures of two/more spices,
other(09109191)",Kg,241,86,6730,1339,284,12,14900,3991
