12129998- Betel leaves,Kg,4800,2258,-,-,-,-,-,-
"130231Balsam Mucilages &
thickeners:",Kg,79140,2154,228515,11823,206205,9232,159340,7399
14011- Bamboo,Kg,105690,3150,63400,1492,73450,1183,124140,2188
"13021-Veg mtrl use for
plaiting: other",Kg,3553721,141748,481,358,535,498,159340,7399
"170199- Sugarcane/beet
chem pure/solid other",M.ton,15165,762714,896500,34964,32721420,1180639,2213960,77763
"17031- Molasses, cane
flavoured coloured",M.ton,40,6595,452042,54244,300000,4645,20000,3528
"190410- Rice, beaten (Muri)",Kg,5332781,725905,5208238,677353,5744294,762433,6181611,850689
"19049000 Prepared food:
other",Kg,2022941,314995,2390331,416934,1987790,388776,2748008,416779
"19019030 Pineapple
prep/presv w/sugar or not",Kg,3240,225,57653,2782,23280,1077,13198161,3404372
"21069 Food preparations,
other",Kg,526,112,7400,911,52938,6828,56240,7300
"2009 Non-alcoholic
beverage, other nec",Liter,49676660,3751324,61865417,4479907,64122783,4480845,86190683,5646632
