District,,,River,,,"Sundar
bans",,,Beel,,,"Kaptai
Lake",,,"Flood
Plain",,,Pond,,,"Seasonal
cultured
water
body",,,Baor,,,"Shrimp/
Prawn
Farm",,,"Pen
Culture",,,"Cage
Culture",,,Total,,
,Dhaka,,,552,,,0,,,770,,,0,,,4748,,,8017,,,3431,,,0,,,0,,,2566,,,21,,,20105,
,Faridpur,,,979,,,0,,,445,,,0,,,9218,,,11715,,,1730,,,443,,,4.,,,671,,,83,,,25288,
,Gazipur,,,224,,,0,,,1218,,,0,,,16397,,,21909,,,8296,,,0,,,0.,,,1233,,,0,,,49277,
,Gopalganj,,,269,,,0,,,625,,,0,,,6470,,,12381,,,1380,,,88,,,1545,,,4485,,,9,,,27252,
,Kishorganj,,,1253,,,0,,,6483,,,0,,,39350,,,18768,,,5278,,,0,,,6,,,1228,,,13,,,72379,
,Madaripur,,,663,,,0,,,222,,,0,,,7728,,,9318,,,183,,,196,,,70,,,248,,,38,,,18666,
,Manikganj,,,1229,,,0,,,508,,,0,,,10350,,,8918,,,3363,,,0,,,5,,,24,,,0,,,24397,
,Munshiganj,,,1394,,,0,,,161,,,0,,,11912,,,8097,,,4379,,,0,,,9.,,,122,,,85,,,26159,
,Narayanganj,,,793,,,0,,,114,,,0,,,1746,,,7483,,,2488,,,0,,,0.50,,,0,,,0,,,12625,
,Narsingdi,,,1176,,,0,,,1040,,,0,,,11646,,,16247,,,2258,,,0,,,0.49,,,45,,,657,,,33069,
,Rajbari,,,1112,,,0,,,226,,,0,,,6066,,,14408,,,1959,,,395,,,10,,,0,,,0,,,24176,
,Shariatpur,,,1008,,,0,,,33,,,0,,,5266,,,14124,,,2161,,,0,,,37,,,38,,,46,,,22713,
,Tangail,,,496,,,0,,,2198,,,0,,,10055,,,44158,,,6236,,,0,,,5,,,251,,,0,,,63399,
Dhaka Div.,,,,,,0,,,14041,,,,,,,,,,,,,,,1122,,,,,,,,,,,,,,
,,,,11148,,,,,,,,,0,,,140952,,,195543,,,43142,,,,,,1692,,,10911,,,952,,,419503,
Mymensingh,,,,,,0,,,6503,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,728,,,,,,,,,0,,,10551,,,318385,,,4739,,,,,,0.70,,,0,,,0,,,340906,
,Jamalpur,,,846,,,0,,,2933,,,0,,,29248,,,24173,,,2568,,,0,,,0,,,22,,,0,,,59790,
Sherpur,,,,,,0,,,6359,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,
,,,,116,,,,,,,,,0,,,9429,,,13609,,,1082,,,,,,,,,440,,,93,,,31128,
Netrakona,,,,,,0,,,2348,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,
,,,,537,,,,,,,,,0,,,2222,,,23918,,,6072,,,,,,,,,2,,,0,,,35099,
"Mymensingh
Div.",,,,,,0,,,18143,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,2227,,,,,,,,,0,,,51449,,,380085,,,14461,,,,,,0,,,464,,,93,,,466922,
,Bagerhat,,,3191,,,15619,,,20,,,0,,,4451,,,15296,,,8376,,,0,,,52361,,,0,,,0,,,99314,
,Chuadanga,,,159,,,0,,,1025,,,0,,,1210,,,9598,,,1288,,,1091,,,0,,,0,,,0,,,14371,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,35574,,,,,,,,,,
,Jashore,,,536,,,0,,,1635,,,0,,,34905,,,125663,,,25401,,,2053,,,,,,0,,,0,,,225767,
,Jhenaidah,,,154,,,0,,,982,,,0,,,5694,,,19724,,,4726,,,1126,,,8,,,0,,,0,,,32414,
,Khulna,,,1950,,,814,,,127,,,0,,,18745,,,13597,,,0,,,169,,,61057,,,0,,,0,,,96459,
,Kushtia,,,702,,,0,,,417,,,0,,,3736,,,13811,,,1029,,,663,,,1,,,0,,,0,,,20359,
,Magura,,,660,,,0,,,302,,,0,,,1418,,,9231,,,255,,,624,,,12,,,0,,,0,,,12502,
,Meherpur,,,127,,,0,,,192,,,0,,,740,,,5324,,,197,,,433,,,2,,,0,,,0,,,7015,
,Narail,,,426,,,0,,,537,,,0,,,3716,,,3665,,,459,,,273,,,3876,,,0,,,0,,,12952,
,Satkhira,,,585,,,437,,,15,,,0,,,13598,,,33856,,,9115,,,177,,,67247,,,0,,,0,,,125030,
Khulna Div.,,,,,,16870,,,5251,,,,,,,,,,,,,,,6607,,,,,,,,,,,,,,
,,,,8490,,,,,,,,,0,,,88213,,,249765,,,50847,,,,,,220139,,,0,,,0,,,646182,
,Barguna,,,2509,,,0,,,0,,,0,,,2451,,,6912,,,583,,,0,,,742,,,5,,,20,,,13222,
,Barishal,,,26767,,,0,,,22,,,0,,,8088,,,32296,,,12213,,,0,,,1372,,,258,,,446,,,81462,
,Bhola,,,52518,,,0,,,0,,,0,,,3605,,,40314,,,241,,,0,,,62,,,0,,,0,,,96740,
,Jhalokathi,,,971,,,0,,,9,,,0,,,3557,,,3965,,,431,,,0,,,33,,,36,,,21,,,9023,
,Patuakhali,,,7875,,,0,,,0,,,0,,,9727,,,24583,,,113,,,0,,,1376,,,196,,,10,,,43880,
,Pirojpur,,,3002,,,0,,,9,,,0,,,3562,,,7980,,,1003,,,0,,,827,,,161,,,10,,,16554,
Barishal Div.,,,,,,0,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,93642,,,,,,,,,0,,,30991,,,116050,,,14585,,,0,,,4412,,,655,,,508,,,260882,
