Commodity,Unit,2013-14,,2014-15,,2015-16,,2016-17,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"0105- Livefowl domestic
Spices - other",No.,-,-,-,-,,,161534,1810845
2020-Meat of bovine animal,Kg,6000,2117,-,-,541,144,254856,56285
0303-Eels fish frozen,Kg,9823436,3114438,10511080,3002590,8737039,2535290,52454535,2081734
,,-,-,-,-,-,-,-,-
"03037-Fish, other frozen",Kg,,,,,,,,
,,-,-,,,-,-,-,-
"03039010-90 Livers and
roes frozen",Kg,,,,,,,,
"03052-Liver/roe dry smoked
sltd in brine",Kg,2300,1172,14500,4325,5000,588,9,7
"03053- Fish filet dry sltd in
brine not smoked",Kg,118,564,-,-,800,158,56500,2940
"030549-Sharkfins, smoked
cooked or not salted",Kg,3981,5147,7560,2006,2240,7841,-,-
"030559- Fish dry salted/ in
brine not smoked",Kg,174229,146168,30150,9473,272129,65619,13265418,1879111
"030559- Fish dry unsalted,
not smoked",Kg,302988,60240,465804,84714,272129,656,-,-
"030569- Fish salted, not
dried/smoked and fish in
brine, other.",Kg,46835,37953,49019,39732,78427,34646,5,1
"030613- Shrimps, frozen",Kg,34155724,29342122,-,-,41839009,33708040,45296057,40778882
"030614- Crabs, frozen",Kg,180602,37893,313351,92180,806495,266837,248788,158999
"030629- Crustaceans, other,
not frozen",Kg,4250,1000,-,-,-,-,-,-
"0402- Milk powder
fat<=1.5%)W/sugar",Kg,56294,5513,193166,72990,519220,82960,16380,6544
"0501- Human hair unworked
wash or not & waste",Kg,23268,18705,8501,8290,10704,17186,5700,15844
,,Quantity,"Value
'000'
Tk",Quantity,"Value
'000'
Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000'
Tk"
1,2,3,4,5,6,7,8,9,10
"0504-Bladder and gut of animal
not fish",Kg,1697775,925118,2184245,1142371,1827410,937876,1942660,1193217
"0505- Feathers used for stuffing;
down",Kg,113097,42780,169302,38681,146609,15714,125833,21751
0506- Bones (uncrushed),Kg,639000,18627,7889010,257044,3268600,95449,4138100,145713
05069- Unworked other,Value,2453000,84532,7261510,243399,2086000,78240,537100,5761
"05079- Horn antler & similar pcs
of animals",Kg,472800,18032,712814,28545,342128,14267308,187050,8655
