Regions,Gross Cropped Area (‘000' acres),,,,,Intensity of Cropping,,,,
,2011-12,2012-13,2013-14,2014-15,2015-16,2011-12,2012-13,2013-14,2014-15,2015-16
1,2,3,4,5,6,7,8,9,10,11
