Types,"Domestic
production","Total estimated
demand",Total sales,Import
1,2,3,4,5
"Urea
TSP
MOP
SSP
Gypsum
ASP
Zinc
DAP
NPKS","11.00
0.76
-
-
-
-
-
0.38
-","29.51
6.70
4.97
-
-
-
2.63
-","24.06
4.20
2.63
-
-
-
1.36
-","14.65
3.76
3.18
-
-
-
1.49
-"
Total,12.59,43.81,32.25,23.08
