"Tenancy and farm
type & size",Total,Cattle,,Buffalo,,Goat-sheep,,Fowls,,Ducks,
,,"Holdings
reporting","Herd
population","Holdings
reporting","Herd
population","Holdings
reporting","Herd
population","Holdings
reporting","Flock
population","Holding
reporting","Flock
population"
1,2,3,4,5,6,7,8,9,10,11,12
