"Tenancy and farm
type & size",Total,"Agricult
ural
labour
househ
olds",Agriculture labour households reporting,,,,,,,,,,,,,
,,,Cattle,,Buffalo,,Goat,,Sheep,,Fowl,,Duck,,Pigeon,
,,,"No. of
househol
ds","%
(col
4/3)","No. of
house
holds","%
(col
6/3)","No. of
househ
olds","%
(col
8/3)","No. of
househ
olds","%
(col
10/3)","No. of
househ
olds","%
(col
12/3)","No. of
househ
olds","%
(col
14/3)","No. of
house
holds","%
(col
16/3)"
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
