"Date of
Occurrence",Nature of Phenomenon,Landfall Area,"Maximum Wind
Speed in
km/hr.","Direction of the
Max. Wind
Speed","Tidal Surge
Height
in ft.","Central
Pressure
(mbs)"
1,2,3,4,5,6,7
16.05.13,"Cyclonic Storm
(MAHASEN)","Noakhali-Chattagram
Coast",100,South-South-East,-,-
30.07.15,"Cyclonic Storm
(KOMEN)","Chattagram-Cox’s
Bazar Coast",65,South-East,5-7,988
