Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Bandarban,0,0,0.00,0.000,0,0,0,0.00,0.000,0
2,Chattagram,0,0,0.00,0.000,0,0,0,0.00,0.000,0
3,Cox's Bazar,0,0,0.00,0.000,0,0,0,0.00,0.000,0
4,Cumilla,62998,25494,12.91,1.191,30358,71233,28826,13.02,1.201,34619
5,Chandpur,29150,11796,10.72,0.989,11664,31779,12860,11.01,1.016,13060
6,Brahmanbaria,45281,18324,17.20,1.587,29072,51319,20768,17.45,1.610,33427
7,Khagrachari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
8,Noakhali,0,0,0.00,0.000,0,0,0,0.00,0.000,0
9,Lakshmipur,0,0,0.00,0.000,0,,0,0.00,0.000,0
10,Feni,,0,0.00,0.000,0,0,0,0.00,0.000,0
11,Rangamati,0,0,0.00,0.000,0,0,0,0.00,0.000,0
1,"Chattagram
Division",137429,55615,13.86,1.278,71095,154331,62454,14.08,1.299,81107
12,Sylhet,6080,2460,14.70,1.356,3336,8562,3465,14.80,1.365,4730
13,Maulavibazar,2500,1012,12.66,1.168,1181,4850,1963,12.60,1.162,2281
14,Sunamgonj,80,32,17.65,1.628,53,0,0,17.75,0.000,0
15,Hobigonj,45154,18273,15.74,1.452,26529,56052,22683,15.52,1.432,32472
2,"Sylhet
Division",53814,21777,15.48,1.428,31100,69464,28111,15.23,1.405,39483
16,Dhaka,24417,9881,10.10,0.932,9205,25530,10331,10.20,0.941,9720
17,Gazipur,735,297,9.95,0.918,273,620,251,10.31,0.951,239
18,Manikgonj,72585,29374,10.20,0.941,27636,39743,16083,10.30,0.950,15280
19,Munsigonj,48566,19654,11.81,1.089,21410,49793,20150,11.90,1.098,22118
20,Narayangonj,12130,4909,12.20,1.125,5524,17472,7071,11.90,1.098,7761
21,Narsingdi,4131,1672,14.40,1.328,2220,0,0,0.00,0.000,0
22,Faridpur,28734,11628,15.40,1.420,16517,34745,14061,11.87,1.095,15395
23,Rajbari,10740,4346,13.54,1.249,5428,9892,4003,13.90,1.282,5132
24,Madaripur,41475,16784,13.50,1.245,20900,39192,15860,13.70,1.264,20042
25,Gopalgonj,43693,17682,12.10,1.116,19734,48040,19441,12.25,1.130,21967
26,Shariatpur,24744,10013,13.70,1.264,12654,28187,11407,13.81,1.274,14530
27,Kishoregonj,0,0,0.00,0.000,0,0,0,0.00,0.000,0
28,Tangail,59047,23895,12.30,1.135,27110,64090,25936,12.40,1.144,29665
3,"Dhaka
Division",370997,150134,12.18,1.123,168612,357304,144593,12.14,1.119,161849
29,Jamalpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
30,Sherpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
31,Netrokona,0,0,0.00,0.000,0,0,0,0.00,0.000,0
32,Mymenshing,0,0,0.00,0.000,0,0,0,0.00,0.000,0
4,"Mymenshing
Division",0,0,0.00,0.000,0,0,0,0,0.000,0
