Barishal,24,13241,22.39,2965,2989,502,1502
Jhalakathi,24,10057,26.16,2631,2655,662,1757
Perojpur,220,10780,28.24,3098,3318,676,2243
Bhola,-,-,-,-,-,-,-
Total,268,34078,25.51,8694,8962,614,5502
