Name of the crop,Loss in production (M.tons/bales) by natural calamities,,Sidre,Total
,"Flood /Excessive Rainfal
/flash Flood/Rush of water","Cyclone/Hailstorn/Tornado/Tidal
bore",,
HYV Aman,12580,-,-,12580
