"Tenancy and farm
type & size",Total,"Agricultural
labour
households",Cattle,,Buffalo,,Goat,,Sheep,,Fowl,,Duck,,Pigeon,
,,,"No. of
households","%
(col
4/3)","No. of
households","%
(col
6/3)","No. of
households","%
(col
8/3)","No. of
households","%
(col
10/3)","No. of
households","%
(col
12/3)","No. of
households","%
(col
14/3)","No. of
households","%
(col
16/3)"
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
