Name of the crops,Loss in production (M.tons/bales) by natural calamities,,Sidre,Total
,"Flood /Excessive Rainfal /
flash Flood / Rush of water",Cyclone/Hailstorn/Tornado/Tidal bore,,
HYV Aus,4559,-,-,4559
Total Aus,4559,-,-,4559
(LT) Aman,32914,-,-,32914
(Broad cust) Aman,21527,-,-,21527
