Name of Crops,2015-16,,2016-17,,2017-18,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Bhaidai Fodder,4935,29213,4438,25899,4548,28315
Rabi Fodder,36613,195216,37193,199380,38222,213772
Sub-Total,41548,224429,41631,225279,42770,242087
Mulberry,463,27727,491,27065,314,26796
Marry Gold,972,1432,2020,3327,1187,1981
Rose Flower,475,2802,516,19501,451,15978
Others Flower,273,453,219,353,371,658
Sub Total,2183,32414,3246,50246,2323,45413
Grand Total,43731,256843,44877,275525,90186,575000
