Aman Total-,54441,-,-,54441
Boro Local,13541,-,-,13541
HYV Boro,711830,-,-,711830
HY Brid,140325,-,-,140325
Boro Total-,865696,-,-,865696
Jute,24259,-,-,24259
Aman Seed bed,-,-,-,-
Patal,1222,-,-,1222
Chalkumra,31,-,-,31
Summer Brinjal,43,-,-,43
