District,,,River,,,"Sundar
bans",,,Beel,,,"Kaptai
Lake",,,"Flood
Plain",,,Pond,,,"Seasonal
cultured
water
body",,,Baor,,,"Shrimp/
Prawn
Farm",,,"Pen
Culture",,,"Cage
Culture",,,Total,,
,Dinajpur,,,224,,,0,,,507,,,0,,,5894,,,32435,,,3486,,,0,,,3,,,0,,,0,,,42551,
,Gaibandha,,,671,,,0,,,459,,,0,,,5579,,,17232,,,724,,,0,,,0,,,50,,,3,,,24724,
,Kurigram,,,763,,,0,,,1106,,,0,,,10668,,,12457,,,3145,,,0,,,0,,,105,,,12,,,28262,
,Lalmonirhat,,,157,,,0,,,392,,,0,,,1499,,,8691,,,1331,,,0,,,4,,,143.62,,,0,,,12219,
,Nilphamari,,,153,,,0,,,331,,,0,,,3107,,,13447,,,163,,,0,,,10,,,5.89,,,5,,,17223,
,Panchagarh,,,94,,,0,,,52,,,0,,,2601,,,8607,,,92,,,0,,,1,,,0,,,0,,,11448,
,Rangpur,,,117,,,0,,,1753,,,0,,,8209,,,18207,,,1394,,,0,,,2,,,30.1,,,0,,,29713,
,Thakurgaon,,,86,,,0,,,198,,,0,,,3741,,,19338,,,22,,,0,,,3,,,0,,,0,,,23389,
Rang. Div.,,,,,,0,,,4798,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,2265,,,,,,,,,0,,,41298,,,130414,,,10358,,,,,,21,,,334.61,,,20,,,189528,
,Bogra,,,796,,,0,,,2489,,,0,,,4401,,,61096,,,759,,,0,,,13,,,0,,,0,,,69561,
,C.Nawabganj,,,1533,,,0,,,3279,,,0,,,1910,,,8591,,,112,,,0,,,1,,,155,,,97,,,15691,
,Joypurhat,,,151,,,0,,,127,,,0,,,141,,,24961,,,85,,,0,,,21,,,0,,,,,,25487,
,Naogaon,,,1321,,,0,,,4264,,,0,,,16887,,,47073,,,281,,,0,,,1,,,0,,,18,,,69856,
,Natore,,,1076,,,0,,,905,,,0,,,14412,,,31463,,,421,,,0,,,13,,,17,,,0,,,48316,
,Pabna,,,3161,,,0,,,1440,,,0,,,9961,,,41602,,,9346,,,0,,,0,,,3.35,,,27,,,65566,
,Rajshahi,,,1898,,,0,,,3587,,,0,,,6965,,,50830,,,7024,,,0,,,13,,,29,,,4,,,70366,
,Sirajganj,,,3168,,,0,,,659,,,0,,,31860,,,19881,,,3127,,,0,,,1,,,5,,,120,,,58847,
Raj. Div.,,,,,,0,,,16750,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,13105,,,,,,,,,0,,,86537,,,285497,,,21153,,,,,,63,,,209.35,,,267,,,423689,
,Bandarban,,,112,,,0,,,0,,,0,,,126,,,996,,,0,,,0,,,0,,,0,,,0,,,1235,
,Brahmanbaria,,,1390,,,0,,,458,,,0,,,20631,,,29095,,,2761,,,0,,,0,,,273.93,,,98,,,54718,
,Chandpur,,,32239,,,0,,,301,,,0,,,23155,,,42573,,,1901,,,0,,,123,,,71,,,905,,,101534,
,Chittagong,,,2291,,,0,,,34,,,0,,,626,,,55321,,,0,,,0,,,1736,,,0,,,0,,,60027,
,Comilla,,,705,,,0,,,269,,,0,,,70668,,,122853,,,33238,,,0,,,268,,,4,,,70,,,228081,
,Cox’s Bazar,,,1810,,,0,,,0,,,0,,,1153,,,4875,,,82,,,0,,,25213,,,0,,,,,,33148,
,Feni,,,1077,,,0,,,0,,,0,,,6566,,,23447,,,109,,,0,,,77,,,0,,,26,,,31311,
,Khagrachari .,,,164,,,0,,,48,,,0,,,39,,,3687,,,0,,,0,,,0,,,0,,,0,,,3939,
,Lakshmipur,,,18971,,,0,,,0,,,0,,,10253,,,29474,,,799,,,0,,,56,,,0,,,43,,,59753,
,Noakhali,,,12248,,,0,,,0,,,0,,,30709,,,44001,,,5760,,,0,,,313,,,0,,,0,,,93132,
,Rangamati,,,162,,,0,,,0,,,9982,,,0,,,1179,,,36,,,0,,,0,,,49.3,,,4,,,11413,
Ctg. Div.,,,,,,0,,,1110,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,71169,,,,,,,,,9982,,,163926,,,357501,,,44689,,,,,,27787,,,398.23,,,1146,,,678295,
,Habiganj,,,745,,,0,,,3758,,,0,,,35770,,,17634,,,329,,,0,,,0,,,120,,,10.8,,,58373,
,Moulvi Bazar,,,368,,,0,,,4315,,,0,,,20748,,,14263,,,754,,,0,,,21,,,0,,,15,,,40487,
,Sunamganj,,,776,,,0,,,23724,,,0,,,60500,,,7997,,,1144,,,0,,,0,,,105,,,25,,,94277,
,Sylhet,,,651,,,0,,,5121,,,0,,,37747,,,16326,,,9351,,,0,,,1,,,115,,,0,,,69317,
Sylhet Div.,,,,,,0,,,36918,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,2539,,,,,,,,,0,,,154765,,,56220,,,11578,,,,,,22,,,340,,,51,,,262454,
Total,,,271639,,,18086,,,98117,,,9982,,,765782,,,1833118,,,215547,,,8002,,,260827,,,13368,,,2490,,,3496958,,
,,,7.77,,,0.52,,,2.81,,,0.29,,,21.90,,,52.42,,,6.16,,,0.23,,,7.46,,,0.38,,,0.07,,,100.00,,
,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
