"0709- Vegetable, fresh or
chilled other",Kg,1297986,178274,937942,160713,2327242,409742,2937929,609697
"081090- Fruits, fresh, other",Kg,99230,36870,169134,57676,5000,80,,
"09021- Green tea, packing",Kg,2884,1397,4620,1863,1738,713,11299,4136
"09022- Green tea, other(not
fermented)",Kg,182724,78992,132025,58541,169084,79032,166871,92653
"0902300- Black tea packing
not exceeding 3 kg",Kg,194177,43929,299788,61023,460348,122550,368542,97531
090240- Tea nec,Kg,1105963,79687,10823,2617,1701930,166457,314640,33369
"0904- Chillies, dry",Kg,492774,118444,550474,95972,492322,77767,317836,72081
0909- Black cumin seeds,Kg,426485,47834,520709,50022,559626,133354,1198804,358651
"091030- Turmeric
(curcuma)",Kg,100826,20174,22805,5545,86297,30256,103680,31674
"Mixtures of two/more
spices, other(09109990)",Kg,6730,1339,284,12,14900,3991,7435459,2610596
