Year,"Frozen Shrimp/
Prawn",,Live Fish,,Frozen Fish,,Chilled Fish,,Dry fish,,"Salted/
dehydrated
fish",,Crab& Kuchia,,"Shark fin/
Fish Maws",,Others,,Total,"% of Total
Export (Value)",,
,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,,Value,
2000-01,29713,1885.2,-,-,7965,94.89,-,-,137,2.02,838,27.73,154,2.33,181,20.63,-,-,38988,,2032.75,5.77
2001-02,30209,1447.8,-,-,9864,137.39,-,-,517,8.32,293,9.53,336,7.07,263,27.07,-,-,41482,,1637.14,4.76
2002-03,36864,1719.9,-,-,8846,158.64,-,-,333,7.02,526,19.12,630,14.58,172,22.35,-,-,47371,,1941.59,5.10
2003-04,42943,2152.8,-,-,10229,202.24,-,-,472,4.16,377,1.38,116,1.39,4,1.53,-,-,54141,,2363.47,5.71
2004-05,46533,2281.6,-,-,15763,256.2,-,-,272,3.71,770,28.97,38,0.86,1,0.39,-,-,63377,,2571.72,5.90
2005-06,49317,2698.4,57,0.48,17429,294.14,-,-,150,2.19,591,19.84,1107,12.95,78,0.80,100,1.09,68829,,3029.84,4.56
2006-07,53361,2992.3,4,0.07,18376,325.9,-,-,77,1.34,441,12.80,1123,15.48,244,4.11,78,0.86,73704,,3352.89,4.90
2007-08,49907,2863.9,10,0.15,23515,495.46,-,-,210,2.67,658,26.97,439,4.88,266,1.82,294,0.41,75299,,3396.28,4.04
2008-09,50368,2744.1,0.30,0.006,19294,450.89,-,-,341,11.99,84,3.92,1217,11.98,276,1.77,1308,18.73,72888,,3243.41,3.00
2009-10,51599,2885.2,1783,13.22,21464,458.11,-,-,622,25.06,0,0.00,692,10.41,955,12.66,528,3.85,77643,,3408.52,2.74
2010-11,54891,3568.2,0.60,0.045,16743,490.00,16369,421.05,623,5.57,577,30.86,4485,54.11,0,0.00,2780,33.97,96469,,4603.83,2.73
2011-12,48007,3640.2,0.46,0.04,15513,396.18,19026,520.74,996,9.43,411,27.46,5767,95.77,0,0.00,2758,14.14,92479,,4703.94,2.46
2012-13,50333,3376.2,0.00,0.00,11435,316.36,11831,246.86,1278,36.03,0,0.00,7428,169.49,1,0.09,2599,13.93,84905,,4158.97,2.01
2013-14,47635,4118.8,0.00,0.00,11677,337.11,5021,89.07,2634,29.67,261,21.65,7707,164.75,0,0.00,2393,15.89,77328,,4776.92,2.09
2014-15,44278,3937.60,0.00,0.00,10656,277.63,11629,177.08,2845,36.74,261,25.37,12558,199.38,0,0.00,1297,6.81,83524,,4660.60,1.92
2015-16,40726,3598.67,12454,184.28,11133,273.76,7428,163.52,2229,30.12,249,21.03,106,7.09,0,0.00,1013,4.35,75338,,4282.82,1.97
2016-17,39705.85,3682.26,0.00,0.00,8281.23,236.65,4123.55,94.99,2296.69,30.19,206.9,18.57,12882.5,220.26,0.16,0.08,808.80,4.65,68305.68,,4287.64,1.51
