Means of Irrigation,"Irrigated area
2016-17","Irrigated area 2017-
2018",Percentage of increase/decrease,
,,,2016-2017,2017-2018
Power Pump,3103,3202,(+)0.10%,(+)3.19%
Deep Tube-well,3138,3082,(+)3.80%,(-)1.78%
Shallow Tube-well,11757,11928,(+)2.71%,(+)1.45%
Hand Tube-well,41,35,(-)12.77%,(-)14.6%
Traditional,781,741,(-)0.89%,(-)5.12%
