Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,322,130,15.30,1.411,184,161,65,0.00,0.000,0
34,Jhenaidah,123,50,13.30,1.227,61,334,135,12.69,1.170,158
35,Khulna,6144,2486,14.10,1.301,3234,7117,2880,14.09,1.300,3744
36,Kustia,13763,5570,14.20,1.310,7295,14471,5856,13.01,1.200,7027
37,Magura,1007,408,12.90,1.190,485,642,260,14.09,1.300,338
38,Meherpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
39,Narail,8970,3630,14.90,1.374,4989,8772,3550,14.96,1.380,4899
40,Satkhira,0,0,0.00,0.000,0,0,0,0.00,0.000,0
4,"Khulna
Division",32394,13109,14.28,1.317,17265,32992,13351,13.70,1.264,16873
41,Jamalpur.,1014,410,14.40,1.328,545,1564,633,14.97,1.381,874
42,Mymensingh,0,0,18.00,0.000,0,86,35,12.70,1.171,41
43,Netrokona,183,74,20.10,1.854,137,148,60,12.65,1.167,70
44,Sherpur,518,210,14.10,1.301,273,222,90,13.61,1.256,113
5,"Mymensingh
Division",1715,694,14.92,1.376,955,2021,818,14.55,1.342,1098
45,Bogura,0,0,0.00,0.000,0,0,0,0.00,0.000,0
46,Joypurhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
47,Naogaon,0,0,0.00,0.000,0,0,0,0.00,0.000,0
48,Natore,2154,872,14.40,1.328,1158,1260,510,12.69,1.171,597
49,"Chapai
Nawabgonj",18876,7639,14.83,1.368,10449,19769,8000,16.93,1.562,12492
50,Pabna,17526,7092,14.10,1.301,9224,19724,7982,12.67,1.169,9328
51,Rajshahi,1525,617,14.60,1.347,831,1334,540,16.58,1.530,826
52,Sirajgonj,2310,935,13.20,1.218,1138,7166,2900,14.96,1.380,4002
6,"Rajshahi
Division",42391,17155,14.41,1.329,22800,49254,19932,14.82,1.367,27245
53,Dinajpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
54,Gaibandha,0,0,0.00,0.000,0,0,0,0.00,0.000,0
55,Kurigram,705,285,18.70,1.725,492,1211,490,12.68,1.169,573
56,Lalmonirhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
57,Nilphamari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
58,Panchagar,80,32,18.00,1.660,54,198,80,14.91,1.375,110
59,Rangpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
60,Thakurgaon,0,0,0.00,0.000,0,0,0,0.00,0.000,0
7,"Rangpur
Division",785,318,18.63,1.718,546,1409,570,12.99,1.198,683
61,Hobigonj,994,402,14.70,1.356,545,741,300,14.09,1.300,390
62,Maulovibazar,425,172,15.85,1.462,251,502,203,13.57,1.251,254
63,Sunamgonj,927,375,17.20,1.587,595,2152,871,15.17,1.400,1219
64,Sylhet,11214,4538,16.20,1.494,6781,6944,2810,13.55,1.250,3513
8,"Sylhet
Division",13560,5487,16.15,1.489,8173,10339,4184,13.93,1.285,5376
BANGLADESH,,465703,188460,14.58,1.345,253527,396308,160377,15.07,1.390,222892
