District/Division,,Total Area,Net cropped area,,Gross cropped area,,Intensity of Cropping,
1,Bandarban,1107,67,69,95,99,142,143
2,Khagrachari,679,74,76,154,157,208,207
3,Rangamati,1511,83,85,122,124,147,146
4,Chittagong,1305,403,407,782,792,194,195
5,Coxs Bazar,616,211,213,375,380,178,178
6,Comilla,777,527,528,1032,1037,196,196
7,Chandpur,407,239,239,352,356,147,149
8,Brahmmanbaria,465,305,304,512,514,168,169
9,Noakhali,911,326,326,673,674,206,207
10,Lakshmipur,356,216,218,457,462,212,212
11,Feni,245,131,129,282,280,215,217
1,Chattogram Division,8379,2582,2594,4836,4875,187,188
12,Sylhet,853,434,437,645,650,189,149
13,Maulavi Bazar,692,340,341,510,513,150,150
14,Sunamganj,926,468,467,627,626,134,134
15,Habiganj,651,364,366,659,663,181,181
2,Sylhet Division,3122,1606,1611,2441,2452,152,152
16,Dhaka,362,173,177,271,276,157,156
17,Gagipur,446,194,195,305,308,157,158
18,Manikganj,342,228,230,515,520,226,226
19,Munshiganj,248,162,163,302,304,186,186
20,Narayanganj,169,95,97,167,170,176,175
21,Narsindhi,284,185,187,360,363,195,194
22,Faridpur,507,259,262,521,525,201,200
23,Rajbari,270,174,175,340,344,195,196
24,Madaripur,278,230,232,443,446,193,192
25,Gopalganj,363,198,199,352,356,178,179
26,Sariatpur,290,140,143,224,228,160,159
27,Tangail,844,516,519,985,987,190,190
28,Kishoerganj,664,437,438,732,736,168,168
3,Dhaka Division,5067,2991,3014,5517,5563,184,185
29,Mymensingh,1086,736,738,1507,1512,205,205
30,Jamalpur,523,333,336,685,692,206,206
31,Sherpur,337,250,251,513,515,205,205
32,Netrokona,690,460,461,824,828,174,180
4,Mymensingh Division,2636,1779,1786,3529,3547,198,199
33,Barishal,688,321,325,468,476,146,146
34,Jhalokathi,175,110,112,203,206,184,184
35,Perojpur,316,189,191,290,295,153,150
36,Bhola,841,448,450,952,956,113,212
37,Patuakhali,796,464,466,660,665,142,143
38,Barguna,453,343,345,525,530,153,164
5,Barishal Division,3269,1875,1889,3098,3128,165,165
39,Jashore,644,448,449,1022,1024,228,228
40,Jhenaidah,486,334,335,746,750,223,224
41,Magura,257,163,165,382,387,234,235
42,Narial,239,149,151,330,335,221,222
43,Khulna,1086,289,291,420,425,145,146
44,Bagerhat,978,296,299,452,458,153,153
45,Satkhira,943,376,379,550,555,146,146
46,Kushtia,398,244,246,594,597,243,243
47,Chuadanga,290,209,211,542,546,259,259
48,Meherpur,186,120,122,342,346,285,284
6,Khulna Division,5507,2628,2648,5380,5423,205,205
49,Rajshahi,599,467,472,960,970,206,206
50,Noagoan,849,711,713,1430,1436,201,201
51,Natore,470,334,337,662,668,198,198
52,Chapia Nawbganj,421,313,316,636,642,203,203
53,Bogura,716,523,524,1270,1274,243,243
54,Joypurhat,250,187,189,450,455,241,241
55,Pabna,587,385,387,843,848,219,219
56,Sirajganj,594,358,360,810,815,226,220
7,Rajshahi Division,4486,3278,3298,7061,7108,215,215
57,Rangpur,593,446,447,1002,1006,225,225
58,Gaibanda,523,353,355,720,725,204,204
59,Kurigram,555,321,325,635,645,198,198
60,Nilphamari,382,283,285,648,655,233,230
61,Lalmonirhat,308,203,204,473,478,225,234
62,Dinajpur,851,667,671,1498,1503,216,224
63,Thakurgaon,440,381,384,864,868,227,226
64,Panchagar,347,257,260,554,560,216,215
8,Rangpur Division,3999,2911,2934,6394,6440,220,219
BANGLADESH,,36465,19650,19774,38256,38536,198,195
