Name of station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Dinajpur,22.2,2 7.0,3 0.7,3 1.0,3 2.9,3 2.7,3 3.2,3 2.3,3 3.0,3 2.7,30.0,24.6
Rangpur,22.4,2 6.4,3 0.1,3 0.2,3 2.0,3 1.6,3 2.9,3 1.9,3 2.2,3 2.2,29.2,24.4
Rajshahi,23.7,2 8.5,3 3.0,3 3.8,3 6.0,3 4.5,3 3.4,33.8,34.3,32.9,30.5,25.3
Bogura,24.1,27.8,31.2,31.8,33.6,33.2,32.8,32.5,33.4,33.3,31.1,25.7
Mymensingh,24.2,26.8,30.5,3 0 . 5,32.1,31.5,31.9,3 1 . 7,32.4,32.4,29.9,25.3
Sylhet,27.2,2 8 . 7,3 3 . 0,30.5,31.2,32.0,32.5,31.9,3 2 . 6,32.9,30.5,26.0
Srimangal,26.2,28.5,31.9,31.6,32.9,32.7,32.3,32.7,33.1,32.4,30.4,26.0
Ishurdi,23.8,28.1,32.7,33.6,35.2,33.8,32.9,32.9,33.9,32.7,30.2,25.5
Dhaka,24.7,28.4,32.1,32.8,3 4 . 0,3 2 . 7,3 1 . 7,32.6,32.8,32.3,30.2,25.9
Cumilla,25.7,28.6,31.6,32.5,33.8,32.7,31.0,31.4,3 2 . 0,3 2.0,29.8,25.8
Chandpur,24.9,2 8 . 7,3 2 . 5,33.3,34.8,33.0,3 1.5,3 2 .5,33.1,3 3 . 0,30.7,26.3
Jashore,25.5,29.2,33.0,34.2,36.3,34.3,3 2.3,33.1,3 4.0,3 3.5,31.3,26.6
Faridpur,24.5,28.5,32.7,3 3 . 2,34.5,33.0,3 2.0,32.6,3 3.4,3 2.9,30.6,25.9
Madaripur,24.8,28.6,32.7,33.0,34.7,32.9,3 1.6,32.4,3 2.8,3 2.4,30.3,26.0
Khulna,25.2,29.2,32.7,34.1,36.0,33.5,3 1.5,32.7,3 3.3,3 3.0,30.8,26.2
Satkhira,25.0,2 9 . 0,3 2 . 4,33.7,36.0,33.6,3 1.5,32.6,3 3.2,3 2.5,30.2,25.9
Barishal,25.6,29.1,32.4,33.0,34.7,32.4,3 0.9,31.7,3 2.4,3 1.7,30.0,26.3
Bhola,25.9,29.0,3 2 . 3,3 2 . 8,3 4 . 1,31.9,30.8,31.8,32.3,31.9,30.1,26.3
Feni,26.1,28.9,32.4,3 2 . 3,3 3 . 3,3 1 . 7,30.2,31.5,32.1,31.7,30.2,26.3
M.court,2 4 . 8,2 8 . 5,3 2 . 0,3 2 .9,34.6,32.4,30.9,32.1,32.4,31.7,29.4,25.2
Hatiya,26.2,28.7,32.5,32.3,33.4,31.5,30.1,31.4,31.9,31.3,30.0,26.4
Sitakunda,27.5,29.9,3 3 . 5,3 2 . 3,3 3 . 5,32.2,30.4,31.6,32.8,32.1,30.9,26.9
Sandwip,26.5,28.8,32.3,31.9,33.6,31.5,30.3,31.5,3 2 . 3,31.6,30.0,26.4
Ambagan(Ctg),27.6,2 9.7,3 3.3,3 2.3,3 3.6,3 2.3,3 0.4,31.5,3 2.6,3 2.2,30.9,27.2
Kutubdia,25.7,2 7.7,3 0.8,3 1.4,3 2.7,3 1.3,3 0.0,31.3,3 1.8,3 1.2,29.8,26.5
Cox's Bazar,27.4,2 9.4,3 2.7,3 2.9,3 3.6,3 0.8,2 9.6,30.9,3 1.9,3 1.6,30.2,26.8
Teknaf,27.5,2 9.7,31.6,3 2.4,3 2.7,30.4,2 9.6,30.8,3 1.6,3 1.4,30.8,27.9
Rangamati,****,****,33.6,3 2.2,3 3.5,3 2.2,3 0.5,31.4,3 2.4,3 1.5,29.6,25.6
Patuakhali,26.4,2 9.9,3 3.2,3 3.4,3 5.0,3 2.2,3 0.9,32.0,3 2.6,3 2.0,30.5,26.6
Khepupara,26.3,2 9.4,3 3.0,3 3.3,3 4.5,3 2.5,3 1.5,32.2,3 2.6,3 1.7,30.2,27.0
sydpur,22.4,2 7.2,3 0.7,3 1.0,3 3.0,3 2.6,3 3.3,32.6,3 3.3,3 3.2,29.9,25.1
Tangail,24.2,2 7.9,3 1.8,3 2.5,3 4.0,3 2.8,3 2.4,32.6,3 3.4,3 2.8,30.4,25.3
Mongla,25.4,2 9.6,3 3.0,3 4.1,3 5.5,3 3.0,3 1.0,32.3,3 3.0,3 2.5,3 0 .1,25.8
chuadanga,23.7,28.4,32.6,3 4.0,35.7,34.1,32.2,33.1,3 3.8,33.0,30.6,25.5
Chattagram,26.5,2 8.9,3 2.5,3 2.2,3 3.6,3 2.4,3 0.7,32.0,3 2.9,3 1.7,30.0,26.4
