Zila/Division,,2015-16,,2016-17,,2017-18
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)"
1,Barguna,100,103,124,207,119
2,Barishal,1362,9838,1074,13379,1076
3,Bhola,844,4941,897,4964,894
4,Jhallokati,286,1363,299,1374,300
5,Patuakhali,85,153,90,162,87
6,Pirojpur,371,1802,380,1885,378
1,Barishal,3048,18200,2864,21971,2854
7,Bandarban,204,591,206,854,210
8,Brahmanbaria,36,61,28,45,39
9,Chandpur,1529,13107,1428,14130,1428
10,Chattogram,2829,3324,2834,13431,2828
11,Cumilla,926,5775,980,5770,929
12,Cox's Bazar,759,4140,754,4100,755
13,Feni,291,3148,256,3356,258
14,Khagrachhari,638,6053,607,5488,612
15,Laksmipur,332,1230,332,3600,340
16,Noakhali,304,1686,309,1502,226
17,Rangamati,543,9591,561,9502,570
2,Chattogram,8391,48706,8295,61778,8195
18,Dhaka,201,1055,166,904,145
19,Faridpur,10239,159212,9800,154760,10239
20,Gazipur,3045,26966,2999,26040,3004
21,Gopalganj,1766,23610,1746,23046,1746
22,Kishorganj,124,1019,61,529,60
23,Madaripur,1300,25371,1252,24168,261
24,Manikganj,4522,26075,4602,28369,4586
25,Munshiganj,290,2127,298,2108,296
26,Narayanganj,134,1612,137,720,146
27,Narsingdi,5309,90436,124,1527,129
28,Rajbari,1177,14881,3139,55215,3268
29,Shariatpur,206,4373,1080,13946,1069
30,Tangail,3684,62540,3541,60419,3435
3,Dhaka,31997,439277,28945,391751,28384
31,Bagerhat,2248,26129,2181,24922,1538
32,Chuadanga,4940,113010,4968,119537,4883
33,Jashore,1087,19932,954,17168,948
34,Jhenaidah,4322,122551,3345,81434,1980
35,Khulna,104,1474,101,7452,99
36,Kushtia,9820,200496,8970,183162,8885
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,507,7167,343,4537,294,3746
38,Meherpur,1009,20196,927,16863,930,16956
39,Narail,1706,26647,1683,26477,1779,27541
40,Satkhira,322,6315,343,6656,310,5907
4,Khulna,26065,543917,23815,488208,21646,408662
41,Jamalpur,12088,233498,12310,225997,12513,231028
42,Mymensing,5768,86251,5680,85530,5624,84238
43,Netrokona,54,662,60,726,63,734
44,Sherpur,206,4373,205,4353,224,4790
5,Mymensing,18116,324784,18255,316606,18424,320790
45,Bogura,1198,23995,751,14746,670,13233
46,Joypurhat,2239,47489,2207,46859,2206,46846
47,Naogaon,1437,28534,1410,27744,1242,24823
48,Natore,56432,1213101,60685,1189958,60480,1185036
49,Chapai Nawabganj,12081,163587,3190,33123,3664,62815
50,Pabna,9529,180595,8356,159821,8355,24046
51,Rajshahi,27579,503722,24731,463103,24649,448486
52,Sirajganj,3136,51154,2774,48541,2758,47918
6,Rajshahi,113631,2212177,104104,1983895,104024,1853203
53,Dinajpur,5842,84119,5626,80118,4640,67785
54,Gaibandha,5974,153152,5968,152293,5964,153298
55,Kurigram,712,10401,708,10895,711,10568
56,Lalmonirhat,264,3341,263,3527,277,3541
57,Nilphamari,190,4561,183,4420,190,5013
58,Panchagarh,10215,103915,10057,94924,9705,125130
59,Rangpur,4753,103105,4739,103063,4082,90700
60,Thakurgaon,10680,149665,10660,138700,10776,134902
7,Rangpur,38630,612259,38204,587940,36345,590937
61,Habiganj,2647,7481,2425,7185,2434,7128
62,Maulvibazar,140,413,137,408,128,384
63,Sunamganj,326,3996,327,2883,330,3011
64,Sylhet,10,14,18,150,20,154
8,Sylhet,3123,11904,2907,10626,2912,10677
,BANGLADESH,242943,4207592,227389,3862775,222784,3638731
