Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
193,",,",",, Khejur","15,450","15,792","16,431","17,292","17,118","18,417","17,333","17,478","19,500","18,480","18,800","19,075",
,,,,,,,,,,,,,,,"17,597"
194,",,","Tamarind with
seed","8,067","8,001","9,057","7,919","8,955","9,548","9,819","9,929","10,213","15,304","9,719","9,688",
,,,,,,,,,,,,,,,"9,685"
195,",,",",, without seed","10,325","8,167","9,250","11,000","11,000","11,000","10,250","11,000","11,000","10,500","13,250","13,000",
,,,,,,,,,,,,,,,"10,812"
196,Vegetable :,Potato : Local,"1,461","1,440","1,322","1,416","1,726","1,944","2,111","2,242","2,300","2,315","2,589","2,695",
,,,,,,,,,,,,,,,"1,963"
197,",,",",, Holland White","1,105","1,168",976,"1,123","1,429","1,709","1,872","1,889","1,966","1,990","2,090","2,130",
,,,,,,,,,,,,,,,"1,621"
198,",,",",, ,, Red","1,069","1,204","1,004","1,157","1,466","1,693","1,834","1,934","2,017","2,002","2,198","2,324",
,,,,,,,,,,,,,,,"1,658"
199,Sweet Potato,,"2,129","1,983","1,797","1,620","1,667","1,648","1,610","1,579","1,850",-,-,"2,250",
,,,,,,,,,,,,,,,"1,813"
200,Vegetable :,Brinjal,"3,058","2,500","1,966","2,278","3,693","3,166","2,893","3,020","3,142","3,199","2,497","1,928",
,,,,,,,,,,,,,,,"2,778"
201,",,",Patal,"2,232","4,488","4,135","3,557","3,157","2,499","2,354","2,455","2,476","2,361","2,011","1,905",
,,,,,,,,,,,,,,,"2,802"
202,",,",Chalcumra,"1,711","1,739","1,608","1,589","1,816","1,729","1,563","1,525","1,485","1,514","1,537","1,337",
,,,,,,,,,,,,,,,"1,596"
203,",,",Pumpkin,"2,156","1,997","1,726","1,511","1,638","1,659","1,705","1,761","1,892","2,017","1,936","1,808",
,,,,,,,,,,,,,,,"1,817"
204,",,",Lao,"1,861","1,728","1,224","1,228","1,482","1,602","1,660","1,583","1,612","1,600","1,597","1,405",
,,,,,,,,,,,,,,,"1,549"
205,",,",Uchehhe,"5,074","5,200","4,553","3,085","3,633","3,832","3,889","3,657","3,842","4,236","4,035","4,143",
,,,,,,,,,,,,,,,"4,098"
206,",,",Karalla,"3,737","4,217","3,709","2,699","3,133","3,299","3,202","2,784","3,008","3,220","3,116","3,011",
,,,,,,,,,,,,,,,"3,261"
207,Vegetable :,Green Papaya,"1,545","1,532","1,508","1,736","2,643","2,349","1,739","1,566","1,400","1,295","1,246","1,213",
,,,,,,,,,,,,,,,"1,648"
208,",,",Mukhi cachue,"2,304","3,048","3,833","2,567","3,991","3,218","2,667","2,541","2,509","2,630","2,682","2,452",
,,,,,,,,,,,,,,,"2,870"
