Name of Crops,2015-16,,2016-17,,2017-18,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Chili (Kharif),43173,31204,43637,31108,45726,35941
Chili (Rabi),208699,99056,211824,105764,204022,105236
Onion,438406,1735334,458969,1866502,441105,1737714
Garlic,150117,381851,163733,425401,176464,461970
Turmeric,62014,139877,62746,143542,63549,149985
Ginger,23400,77290,22998,77478,23745,79438
Coriander seed,44704,17642,43886,16779,42475,16680
"Other Spices and
Condiments (Perennial)",129,1550,156,1590,333,2180
"Other Spices and
Condiments (Tmporary)",7157,4044,10329,6606,9287,6414
Total-,977799,2487848,1018278,2674770,1006706,2595558
