Commodity,Unit,2014-15,,2015-16,,2016-17,,2017-18,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
1205 Rape seed broken or not,Kg,25273838,1001275,276800918,9775443,144367726,5968433,138486277,5420216
"12075090 Mustard seeds broken
or not",Kg,2539748,331389,15735737,634159,16375469,692720,20098041,979196
"120799 Oil seeds, other",Kg,1600,64,3459,254,6143,260,107324,4638
"1208 Flours/meal of other oil
seeds nec",Kg,74861,5320,77211,3866,444707,23394,582839,35811
"12091000Beet seed for sowing,
other",Kg,20166,1888,3780,3533,2309,1262,1373,5321
"12099100Vegetable seeds for
sowing",Kg,1091261,931071,1080921,1285454,1200010,1613596,1569401,1753761
"12099900 Seeds, for sowing
other",Kg,3281349,298514,6326585,850364,6222852,1254570,4393552,846312
"1211 Plant & part etc use in
perfumery",Kg,24044,8301,4051,17300,1054,9219,20830274,1417352
"12119019 Plant & part herb etc
for medicine",Kg,5487743,146041,3702978,22170,9010816,964067,24143,1922
"12119091 Plant & part for
insecticidal etc",Value,2237,79,18357,965,85935,9900,74231,7629
"13021900 Vegetable saps &
extract: other",Kg,286200,52144,39899,77686,35674,92376,55939,144613
13023100 Mucilages & thickners:,Kg,2360,35917,32940,47778,20533,19775,9616,11794
"14049091 Vegetable products,",kg,15520,1358,42811,3637,36355,3001,142283,14670
"other, nec degummed or not",kg,-,-,-,-,-,-,,
1507 Soyabean oil/,Kg,1084653120,72036226,1285331032,73169474,1675864708,106530180,1667775301,109596349
fractions other,,,,,,,,,
1508 Groundnut oil/fraction,Kg,10400,4368,19947,7634,18045,6887,19040,7076
"1591000 other Olive oil, virgin",Kg,36817,7788,125795,36611,138492,41145,194955,58984
15099000 Olive oil/fraction: other,Kg,461604,64766,427699,60153,422269,72894,451278,88959
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
15111000 Palm oil crude,Kg,97312424,6371386,56694548,3190400,2945438683,166538979,20302279,1183277
"1511904 Palm oil/fractions,other",Kg,24795080,138166598,2993117641,144771641,78813090,4472918,26637633,1654930
15131100 Coconut (copra) oil/,Kg,2247830,260546,2168329,209294,1282140,168077,60,12
75131900 fraction other,,,,,,,,575855,84344
15132100 Palm kernel or,Kg,5250444,480059,11492689,878794,9733750,1195704,9242187,1077316
"babassu oil, crude",,,,,,,,,
15132900 Palm kernel/babasu,Kg,7917446,635179,4007762,273446,5418364,611470,4723197,665168
oil/frcton other,,,,,,,,,
15153000 Castor oil and its fraction,Kg,118099,38530,272721,53971,285091,75046,236437,86412
15155000 Sesame oil and its fraction,Kg,28164,3989,82130,9419,40048,4061,90804,12882
15162000 Veg fat oil/fraction hydrogenated,Kg,5015983,492580,7900931,692474,1021969,1098658,12832325,1399572
15161000 Animal/veg oil fat boil oxid other,Kg,595564,25794,491507,20016,1195743,55703,1213255,53728
1520 Glycerol (glycerine) crude,Liter,530,147,163,55,321,97,759,235
15211000 Vegetable waxes refine/colour or not,Kg,15725,8894,36760,16683,20869,9036,37784,17074
15219000 Beeswax and other insect waxs,Kg,3305,3929,9943,5421,11958,10006,18612,6709
17011400 Cane sugar raw not add flavor/color,M.ton,2077649338,62360680,2042599372,54416271,2436110,88554482,2296049,71300242
17011200 Beet sugar raw not add flavor/color,M.ton,-,-,-,4,1,69,19806,2257
"17019900 Sugar cane/beet chem pure/solid
other",M.ton,10282369,509478,8575600,371880,14911,785752,127238990,5179024
"17021900 Sugar: Lactose, solid form",kg,60736,19514,34259,13312,100206,48737,56245,44523
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"17023090 Sugar
glucose solid <20%
fructose",Kg,1587280,75981,1730127,72128,2202983,106165,2207844,113367
"17026000 Sugar:
glucose syrup <=20%
fructose",Kg,3167,253,2055,344,1656,1146,8907,1075
"17024000 Sugar:
fructose/syrup 50% +
other",Kg,22120,1206,65833,3688,29673,2118,3,22
"17041000 Chewing
gum (sugar coated or
not)",Kg,98671,13021,141835,17434,147393,27442,62882,15287
"1805Cocoa powder not
added sugar/sweet",Kg,687913,111715,918077,122112,1312722,177857,1527146,2260006
"1806 Chocolate/food
prep contain coca",Kg,2032917,228188,3200975,575894,4219413,889626,3386775,905059
"19011000 Malt/other
prep for infant/invalid",Kg,5129863,2585305,6365534,2497608,7763546,2928948,7589907,3051409
"1901901 Malt extract
not for retail sale",Kg,198047,58486,3816161,554089,12560568,1950179,6310786,101663
"1903 Tapioca subst
from potato, other",Kg,526382,257044,7135677,346696,9333385,459989,6455782,329030
"19053100 Sweet
biscuits,waffles &
wafers",Kg,117465,28013,134022,32851,187338,46785,234303,51562
"2006 Fruit nut fruit peel
prsrv by sugr",Kg,76225,4785,76737,5270,163268,14345,19810,15588
"2007 Jam fruit jelly
marma- led fruit cook",Kg,169639,18270,267762,29574,185769,47093,135784,39635
"20084000 -Pears
prep/prsrv /sugar or not",Kg,2500,116,2178,100,3862,781,1805,479
"20091100 Orange juice
other nec",Liter,101428,12548,82993,8730,90363,15167,48196,8248
"20099000 Mixture of
fruit juice",Liter,572491,25860,728311,38876,819839,104483,527647,69885
2102100 Active yeasts,Kg,4148140,620602,4385787,686594,4952787,763902,4799470,757972
"21023000 Prepared
baking powders",Kg,130872,10736,210433,15929,401180,34048,581837,67588
"21039090 Sauces and
preparation, other",Kg,142617,107743,4554231,734973,267655,32932,2708218,890457
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"2104 Soup homogenise
composite food prep",Kg,466453,102513,567482,114673,576738,131498,725257,169814
"2105 Ice cream/Ice
cont cocoa or not",Kg,54537,28443,68876,31843,27833,19760,29414,21058
"2106 Food
preparation, other",Kg,23672595,3893028,10343215,4662944,5370497,1296924,14973866,5481505
"22019000-Water,
nec",Liter,290427,13240,222446,10684,405546,20696,394537,24215
"22021000-Mineral
water cont
sugar/sweet/flvr",Liter,105291,11944,210124,16104,450435,36002,209834,18893
"2203000-Beer made
from malt",Liter,3642452,269144,4791874,314000,4469634,237783,3156610,180013
