"2203- Beer
made from malt",Liter,20947,3234,8460,1529,18495,3676,8881,1660
"22083000-
Whiskies",Liter,35382,18239,15844,7559,8726,7033,17370,11963
"24011000-
Tobaco
N/stem/strip
F/cure N/virgna",Kg,12982191,2018490,10118155,113223,9723158,1172381,11281895,1334440
"24012000-
Tobacco
whole/part
stem/strip
virgna",Kg,12565462,2846006,12607468,2287822,11193784,2199611,13938570,3012390
"24021000-
Cigar
chroot/cigrillo
cigarete other",Kg.,421210,233757,278464,150280,346404,208893,248945,157444
"24022000
Cigarette
tobacco cont
subs or not",kg,36600,8183,107373,488221,113642,39281,87958,16823
"31021000-
Urea Aqueous
solution or not",M.ton,-,-,-,-,31000,441432,-,-
"4101- Raw
hides and skins
other",Kg,15417,50590,56983,36342,9735,5284,18992,7038
"41041100- Calf
leather",Kg,9882775,2368421,6097202,1197121,5730673,1024903,-,-
"41044100-
Leather, bovine
hides",Kg,18917032,18584660,12300976,11362173,6098262,8510774,38482,19773
"4105-Leather,
semi finished
sheep skin",Kg,45464,63498,27111,27854,47014,41783,19797,33207
