Zila/Division,,206-17,,,,,2017-18,,,,
,,Area,,Yield per,,"Production
(Bales)",Area,,Yield per,,"Production
(Bales)"
,,Acres,Hectares,"Acre
(Bales)","Hectare
(Bales)",,Acres,Hectares,"Acre
(Bales)","Hectare
(Bales)",
1,Barguna,0,0,0,0,0,0,0,0,0,0
2,Barishal,19583,7925,4.49,11.095,87928,27967,11318,3.81,9.415,106554
3,Bhola,0,0,0.00,0.000,0,0,0,0.00,0.000,0
4,Jhalakathi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
5,Patuakhali,0,0,0.00,0.000,0,0,0,0.00,0.000,0
6,Pirojpur,914,370,2.43,6.005,2221,851,344,1.69,0.000,1438
1,"Barishal
Division",20497,8295,4.40,10.868,90149,28818,11662,3.75,9.260,107992
7,Bandarban,0,0,0.00,0.000,0,0,0,0.00,0.000,0
8,"Brahmanbari
a",7443,3012,4.88,12.059,36322,6748,2731,5.16,12.751,34820
9,Chandpur,10617,4296,4.15,10.255,44061,10899,4411,3.76,9.291,40980
10,Chattogram,0,0,0.00,0.000,0,0,0,0.00,0.000,0
11,Cumilla,1064,431,3.80,9.390,4043,1041,421,4.14,10.230,4310
12,Cox' Bazar,0,0,0.00,0.000,0,0,0,0.00,0.000,0
13,Feni,0,0,0.00,0.000,0,0,0,0.00,0.000,0
14,Khagrachari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
15,Laksmipur,0,0,0.00,0.000,0,90,36,2.51,0.000,226
16,Noakhali,0,0,0.00,0.000,0,0,0,0.00,0.000,0
17,Rangamati,0,0,0.00,0.000,0,0,0,0.00,0.000,0
2,"Chittagonj
Division",19124,7739,4.41,10.909,84426,18778,7599,4.28,10.572,80336
18,Dhaka,13380,5415,4.08,10.082,54590,12864,5206,4.51,11.145,58017
19,Faridpur,190556,77114,4.02,9.934,766035,203703,82434,4.55,11.244,926849
20,Gazipur,1781,721,3.63,8.970,6465,3889,1574,4.46,11.021,17345
21,Gopalgonj,60367,24429,3.78,9.341,228187,61300,24807,4.36,10.774,267268
22,Kishoregonj,30935,12519,3.81,9.415,117862,39031,15795,4.26,10.527,166272
23,Madaripur,75545,30571,4.42,10.922,333909,79052,31991,3.92,9.687,309884
24,Manikgonj,13359,5406,3.71,9.168,49562,12750,5160,4.06,10.033,51765
25,Munsigonj,8391,3396,3.22,7.957,27019,8068,3265,3.43,8.476,27673
26,Narayanganj,1071,433,3.65,9.020,3909,1009,408,3.73,0.000,3764
27,Narsingdi,8235,3333,4.22,10.428,34752,7367,2981,4.38,0.000,32267
28,Rajbari,109474,44302,4.62,11.416,505770,119301,48278,4.73,11.688,564294
29,Shariatpur,63202,25576,4.14,10.230,261656,61896,25048,4.14,10.230,256249
30,Tangail,48350,19566,4.09,10.107,197752,48556,19650,4.32,10.675,209762
3,"Dhaka
Division",624646,252781,4.14,10.236,2587468,658786,266596,4.39,10.846,2891408
31,Bagerhat,2887,1168,4.39,10.848,12674,2840,1149,4.49,11.095,12752
32,Chuadanga,59114,23922,5.23,12.924,309166,55072,22286,5.30,13.097,291882
