Name of Crops,"Irrigated area
2016-2017","Irrigated area
2017-2018",Percentage of increase/decrease,
,,,2016-2017,2017-2018
Aman,2496,2585,(+)5.90%,(+)3.57%
Boro,11240,11337,(+)0.92%,(+)0.86%
Wheat,914,865,(-)5.97%,(-)5.36%
Sugarcane,135,140,0%,(+)3.70%
Cotton,25,19,(-)13.79%,(-)24%
Potato,1082,1065,(+)9.18%,(-)1.57%
Vagetables,1169,1194,(+)4.47%,(+)2.14%
Others,1759,1785,(+)5.65%,(+)1.48%
