"Agriculture
Products",2014-15,,2015-16,,2016-17,,2017-18,
,"Quantity
(M.Ton)","Value in
‘000’Tk","Quantity
(M.Ton)","Value in
‘000’Tk","Quantity
(M.Ton)","Value in
‘000’Tk","Quantity
(M.Ton)","Value in
‘000’Tk"
Tea,1485,204008,9567,9788529,7623,1005359,861,227688
Fish,60956,43719860,101158,4522287,96236,6029097,11598,3617220
Raw Cotton,29418,4319827,9023,1820868,1480627,220551743,3907,720519
Spices,7,1339,1130,325814,1141,327421,337,87127
