Name of the crops,Loss in production (M.tons/bales) by natural calamities,,Sidre,Total
,"Flood /Excessive Rainfal /
flash Flood /Rush of water",Cyclone/Hailstorn/Tornado/Tidal bore,,
Local Aus,-,2952,-,2952
HYV Aus,-,2550,-,2550
Total Aus,-,,,5502
