Natural sponges of,Kg,-,-,-,-,-,-,,
animal origin,,,,,,,,,
05111000 Bovine animal semen,Kg,3500,831,7000,1105,30,1090,6,1935
"05119100 Pot fish/crustacean
etc N/for human",Kg,7161797,271458,8216539,281863,3395129,135280,4392591,157446
"06011000- Live plants, other
incl. their roots",Kg,-,-,-,-,-,-,8920,2099
"0701 Potatoes fresh or chilled
seed",Kg,529429,406315,5632347,350420,5411703,4074978,5946526,430749
"07011090 Potatoes fresh or
chilled: other",Kg,10800,431,2500,101,3852,157,5925745,428995
"0702 Tomatoes, fresh or chilled",Kg,2876613,275953,22913579,641675,33311192,992403,22292579,745659
0703 Onion and shallots,Kg,423410683,10667081,576093872,15352228,1098422078,14624833,1064346621,34122748
07032090 Garlic,Kg,7489899,5013882,38219435,3733118536,54790264,6908369,70209055,5650476
"0707-Cucumber gherkin
fresh/chilled",Kg,3282,108,-,-,-,-,1074,137
"0708-Peas (pisum sativum)
fresh/chill",Kg,16591,649,7881,387,76830,8374,215453,20699
"0709-Vegetable, fresh or chilled:
other",Value,1125826,42679,19042141,633895,11869669,406905,18875195,667301
"07132090 -Peas shelled,
skinned or not",Kg,836631344,34701068,812119578,38254986,531363746,14809928,932150852,3767597
"07132090-Chick peas shelled,
skinned or not",Kg,299947815,12505782,127488202,11970183,406791661,17918190,204197005,11377935
"07133590-Beans dry shelled,
skinned or not",Kg,247605,15796,487375,44544,1118831,80638,13099,1770
"07134090-Lentils, dried, shelled",Kg,181387085,11335567,489375,44544,407727760,24474453,269148391,12475195
skin or not,,,,,,,,,
"07139090-Leguminous Veg
seeds, dry shelled",Kg,444,23,60,9,258382,9407,5125358,267217
"08012290-Cashew nut fresh/
dry shelld or not",Kg,51073,5965,32438,3441,43164,6274,1448,272
"08021190-Almonds, in shell",Kg,57805,7366,29574,4545,4620,6059,992,187
"08021290-Almonds, shelled",Kg,386132,56044,821556,119797,828142,126835,717076,109599
