Types,"Domestic
production","Total estimated
demand",Total sales,Import
1,2,3,4,5
"Urea
TSP
MOP
SSP
Gypsum
ASP
Zinc
DAP
NPKS","12.00
0.45
-
-
-
-
-
0.28
-","28.18
4.75
4.00
-
-
-
2.50
-","25.33
1.61
0.82
-
-
-
0.18
-","13.75
3.00
2.35
-
-
-
0.18
-"
Total,12.73,29.43,27.42,19.28
