Year,Jute goods,,,,"Total value
’000’ Taka",Raw Jute,,Mestas,
,Quantity ‘000’ Metric Ton,,,,,,,,
,Hessian,Saking,Others,Total,,"Quantity
(000’M.Ton)","Value in
‘000’Tk","Quantity
(000’M.Ton)","Value in
‘000’Tk"
2014-15,-,144,-,144,10534362,173,8247371,8,375726
2015-16,-,8,-,8,137590,25,3349,-,-
2016-17,1,102,-,102,8611137,244,13004362,-,-
2017-18,-,83,-,83,72591722,262,12781431,-,-
