Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,860,348,34.42,3.175,1105,1026,415,33.1089,3.054,1268
2,Barishal,132719,53708,41.54,3.832,205807,129336,52339,41.67,3.844,201186
3,Bhola,116363,47090,38.10,3.515,165500,112603,45568,38.17,3.521,160434
4,Jhalakathi,21239,8595,41.94,3.868,33249,24217,9800,42.00,3.874,37965
5,Patuakhali,2280,923,28.75,2.652,2446,2656,1075,24.42,2.252,2421
6,Pirojpur,48247,19525,43.01,3.967,77460,54045,21871,44.66,4.120,90105
1,"Barisal
Division",321708,130188,40.44,3.730,485567,323883,131068,40.81,3.764,493378
7,Bandarban,11040,4468,32.85,3.030,13536,15573,6302,37.57,3.466,21840
8,Brahmanbaria,251223,101664,42.47,3.917,398252,301107,121851,43.39,4.003,487732
9,Chandpur,272975,110467,42.80,3.948,436136,167374,67733,39.30,3.625,245503
10,Chattogram,152058,61535,33.07,3.050,187680,152345,61651,36.23,3.342,206040
11,Cumilla,386090,156242,39.85,3.676,574371,357657,144736,40.79,3.762,544518
12,Cox' Bazar,125933,50962,42.16,3.889,198203,124953,50566,41.65,3.842,194259
13,Feni,73438,29719,40.20,3.708,110208,82733,33480,39.43,3.637,121757
14,Khagrachari,24429,9886,36.29,3.348,33094,24946,10095,37.22,3.433,34654
15,Laksmipur,58516,23680,41.45,3.824,90545,65264,26411,42.44,3.915,103391
16,Noakhali,147795,59809,48.89,4.509,269706,187889,76035,50.79,4.685,356197
17,Rangamati,18608,7530,45.01,4.151,31261,16995,6878,43.01,3.967,27283
2,"Chattogram
Division",1522105,615963,41.24,3.804,2342992,1496836,605737,41.94,3.868,2343174
18,Dhaka,119274,48268,49.19,4.537,218997,116528,47156,47.54,4.385,206782
19,Faridpur,59649,24139,45.14,4.164,100513,68707,27804,45.51,4.198,116710
20,Gazipur,139403,56413,42.97,3.964,223605,134220,54316,43.38,4.001,217327
21,Gopalgonj,185730,75161,51.12,4.715,354418,181159,73311,52.04,4.800,351873
22,Kishoregonj,287295,116262,46.94,4.330,503363,390889,158184,47.20,4.353,688623
23,Madaripur,80358,32519,48.55,4.478,145625,83220,33677,47.34,4.366,147047
24,Manikgonj,124954,50566,49.44,4.561,230617,114988,46533,48.14,4.440,206622
25,Munsigonj,59424,24048,45.47,4.194,100860,65360,26450,44.68,4.121,109007
26,Narayanganj,62370,25240,42.87,3.955,99814,64294,26018,42.20,3.893,101289
27,Narsingdi,126303,51112,40.46,3.732,190769,124081,50213,40.28,3.715,186560
28,Rajbari,36112,14614,46.64,4.302,62870,31294,12664,44.48,4.103,51956
29,Shariatpur,67725,27407,44.33,4.089,112066,52318,21172,44.46,4.101,86823
30,Tangail,414882,167894,45.26,4.175,700906,474150,191878,47.51,4.383,840931
3,"Dhaka
Division",1763479,713641,46.25,4.266,3044422,1901208,769377,46.66,4.304,3311552
31,Bagerhat,130054,52630,45.03,4.154,218606,125609,50831,46.83,4.320,219577
32,Chuadanga,86884,35160,41.88,3.863,135832,95706,38730,41.08,3.789,146744
