(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2017,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
15,",,",Pajam,"4,418","4,460","4,499","4,543","4,963","5,170","5,192","5,202","5,653","5,815","5,280","5,452",
,,,,,,,,,,,,,,,"5,054"
16,Rice Aus :,Medium,-,-,-,-,-,-,-,-,"4,450","3,925","3,650","3,650",
,,,,,,,,,,,,,,,"3,919"
17,",,",Coarse,-,-,-,-,-,-,-,"3,770","3,779","3,838","3,754","3,850",
,,,,,,,,,,,,,,,"3,798"
18,Rice Boro :,Fine,"4,469","4,567","4,619","4,634","4,923","5,070","5,063","5,082","5,522","5,600","5,484","5,554",
,,,,,,,,,,,,,,,"5,049"
19,",,",Medium,"3,885","3,985","4,052","4,082","4,379","4,507","4,422","4,425","4,796","4,778","4,598","4,640",
,,,,,,,,,,,,,,,"4,379"
20,",,",Coarse,"3,309","3,376","3,397","3,442","3,868","3,967","3,842","3,824","4,113","3,970","3,740","3,764",
,,,,,,,,,,,,,,,"3,718"
21,",,",Pajam,"4,447","4,501","4,539","4,554","5,071","5,183","5,108","4,975","5,116","4,901","4,640","4,477",
,,,,,,,,,,,,,,,"4,793"
22,"Rice O. M.
S",,"3,125","3,175","3,238","3,238","3,575","3,425","3,375","3,355","3,483","3,515","3,459","3,488",
,,,,,,,,,,,,,,,"3,371"
23,"Rice
Aromatic",Chinigura,"8,580","8,281","8,072","8,055","7,951","8,015","8,029","8,047","8,111","8,109","7,994","7,941",
,,,,,,,,,,,,,,,"8,099"
24,,Kalojira,"7,927","7,799","7,578","7,650","7,494","7,534","7,513","7,538","7,640","7,458","7,482","7,470",
,,,,,,,,,,,,,,,"7,590"
25,,Kataribhog,"6,200","5,987","5,916","5,934","6,147","6,322","6,285","6,244","6,375","6,336","6,264","6,289",
,,,,,,,,,,,,,,,"6,192"
26,Wheat :,Red,"2,033","1,959","1,941","1,965","1,991","1,967","2,092","2,209","2,288","2,409","2,364","2,358",
,,,,,,,,,,,,,,,"2,131"
27,Wheat :,White,"2,059","2,086","2,043","2,001","2,137","2,097","2,120","2,182","2,331","2,398","2,396","2,404",
,,,,,,,,,,,,,,,"2,188"
28,Import,Red,"2,029","2,050","2,015","2,049","2,153","2,124","2,098","2,311","2,390","2,380",-,"2,285",
,,,,,,,,,,,,,,,"2,171"
