Name of Crops,2015-16,,2016-17,,2017-18,
,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
"Sesame(Till) (Rabi &
Kharif)",99592,3692,1 92671,33999,92831,34859
"Rape & Mustard
(Local &HYV)",787025,361909,831260,362860,759874,351537
"Groundnut (Rabi &
Kharif)",88245,62264,91188,66060,94008,66828
Sub-Total,974862,461094,1015119,462919,946713,453224
Linseed,16207,4475,13257,4164,13920,4464
Soya bean,124289,92181,155351,96921,146888,98699
Coconut,5878,374269,9602,408635,10365,466975
"Other Oil Seed
(Verendha, Sunflower etc)",4009,2229,3425,1913,3731,2531
Sub-Total,150383,473154,181635,511633,174904,572669
Grand-Total,1125245,934248,1196834,974552,1121617,1025893
