National average market price received by farmers (100Kg/100 Pices/80 Pices/Per TK,,,,,,,,,,,,,,
S.L,item,July,August,September,October,November,December,January,February,March,April,May,June,"Annual
average"
1,Paddy –Boro-Fine,3089,3124,3122,3158,3299,3372,3713,3896,4048,3496,3081,3204,3383
2,Paddy –Boro-Medium,2809,2851,2872,2934,3010,3032,3243,3291,3321,2996,2781,2826,2997
3,Paddy –Boro-Coarse,2579,2604,2643,2681,2771,2824,2919,3049,3117,2621,2531,2601,2745
4,Paddy –Amon-Fine,-,2994,3153,3275,3089,3121,3379,3497,3555,3566,3456,3354,3313
5,"Paddy –Amon-
Medium",2913,2750,2563,3142,2673,2828,3055,3129,3214,3249,3109,2947,2977
6,Paddy –Amon-Coarse,-,2675,-,2513,-,2671,2846,2936,3014,3032,2953,2865,2818
7,Paddy Aus-Medium,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Paddy Aus-Coars,-,-,-,-,4026,-,-,-,-,-,-,-,-
9,Wheat-red,4740,4688,4395,4019,3972,4002,4056,4022,3943,3819,3847,3895,4121
10,Wheat -white,4191,4081,4009,3875,4813,4014,4088,4102,3822,3577,3517,3604,3904
11,Maize,2435,2973,2841,2741,5027,2942,3246,3165,3164,2831,2766,2851,2895
12,Jute- white,5840,5162,4984,4793,4394,5433,7597,5525,5497,5428,5595,6007,5556
13,Jute-Tosa,5973,5595,5172,5081,11525,5253,5637,5610,5745,5783,5969,6021,5572
14,Jute- Mesta,5705,5714,4930,4553,8828,4307,4758,5013,5075,5123,5156,4925,4971
15,Dal-kolai-mash,10587,10583,11443,11126,9352,11487,10381,10791,11206,11063,10591,-,10980
16,Dal- kolai- mug,7148,7410,7339,7833,7020,9735,10529,10941,11609,11704,11157,11228,9622
17,"Dal-kolai-
moshur",8122,8102,8894,9120,7271,9140,9610,9616,9399,9621,9226,9285,9124
18,Dal-kolai-chula,7210,6833,6950,7020,6317,8433,9041,8755,9028,9025,9048,9090,8121
19,Dal-kolai-Motor,6055,6141,6539,6720,7796,6846,7023,7144,7756,7556,7820,7809,7057
20,"Dal-kolai-
khesari",5293,5627,5845,6061,-,6366,6950,7133,7645,7494,7371,7474,6631
21,Mustard Oil,7654,7632,8267,7549,8521,8811,7004,6524,6388,6585,6695,6821,7311
22,Soybean Oil,5900,5900,7300,5900,-,7750,17250,16900,16550,16550,11024,11119,11104
23,Sesame Oil,8486,8967,9343,9671,11612,12464,13280,14501,15040,12976,14057,13418,11985
24,Safflower Oil,8688,8750,-,-,-,15000,15750,10625,15250,11063,11013,11063,11911
25,Almond Oil,11808,11055,12155,18381,12778,13606,14288,14158,13935,13812,14977,13243,13683
26,Potato (Local),4019,4014,4363,4808,5048,5312,4342,3232,4037,4625,5028,5419,4520
27,Potato (Holand-White),3196,3210,3614,4143,3999,4569,3517,2219,2728,3849,4175,4606,3652
28,Potato (Holand-Red),3304,3315,3598,4070,4029,4596,3690,2257,2826,3888,4653,4653,3710
29,Eggplan,3746,3728,4268,5028,3275,3243,,2972,2418,2501,3644,3837,3560
30,Ladies fingure,2672,3047,3219,4028,3297,3699,4063,5821,4057,2416,2188,2388,3529
31,Beans,-,9500,9900,12388,4467,4018,5283,3096,2511,2360,3626,-,5441
32,Long Bean,3676,4286,4856,5274,3997,3938,3981,4814,4228,3511,1782,4149,4237
33,Radish,2849,2672,2778,3641,2093,1319,4489,1325,1256,1493,2815,3088,2137
34,Tomato,8182,10129,7668,7431,7367,5044,1350,2315,2163,1944,3095,4733,5253
35,Carrot,7587,8014,7491,8066,6580,5101,3243,2116,2040,2156,1658,4810,5003
36,Danta,1749,1868,1929,2111,2113,1902,2974,1914,1637,1514,2750,1893,1849
37,Cauliflower,-,3750,4455,5991,3533,3149,1897,2044,2142,2265,1400,-,3302
38,Cabbage,-,3500,3545,4284,3123,2336,2939,1587,1740,1215,1750,2188,2410
39,Wolkopi,-,-,-,3875,3119,2692,1989,1784,4017,-,3142,1750,2382
40,Shrimp,3242,3492,3491,4034,3143,3400,2346,4750,2896,3642,2755,3082,3713
41,Chichinga,2808,2927,3086,3672,3234,3000,5125,3535,3592,2704,2377,2729,3062
42,cucumber,2676,3128,3256,3696,2809,2740,3395,3581,4898,1987,3606,4396,3102
43,Gourd,5028,5055,4769,5409,4200,4112,2989,5692,4782,3779,3665,4219,4668
44,Bitter,5341,5105,5000,5488,3764,4483,5252,6197,1978,3531,2012,4375,4759
45,Sweet pumpkin,2321,2497,2663,3068,2999,2633,5376,2347,3838,1811,3115,1992,2419
46,Patal,2681,2860,3050,4082,3045,2582,2702,1144,3171,3500,2619,2597,3002
47,Lemonade (Kharai),2366,3231,2929,3845,2828,2844,3505,2914,3817,-,2779,4296,3062
48,Dhundul,2487,2532,2603,3088,2779,3196,2746,3589,3587,-,6834,2494,2981
49,Mukhi Kachu,4625,4565,4783,5425,5060,4620,3425,4250,-,-,3182,5690,4943
50,Geen Papya,2617,2262,1917,1888,1754,1788,3583,2125,2155,2257,3480,3154,2257
51,Kachur Lati,3831,3798,3922,4297,3994,3706,1991,4369,4401,3691,-,3588,3915
52,Motor Shuti,-,-,-,-,3200,9350,3896,5723,5707,8667,9342,-,6951
53,Read Amaranth,2066,2148,2347,2623,2103,1812,9058,1805,1742,1728,1917,2010,2012
54,Spinach,1925,2600,1675,3197,2355,1880,1846,1746,1658,1783,7294,2390,2530
55,Indian Spinach,1529,1675,1655,1875,1780,1641,1940,1773,1683,,,1633,1709
56,Radish Greens,-,2100,2032,2673,1864,1410,1222,1044,1127,1658,1666,-,1632
57,Sweet Potato,2038,2500,2683,2900,3000,3133,3397,2793,2483,1213,-,2659,2718
58,"Green Banana (80
Piece)",402,411,407,432,471,388,413,424,424,2525,2499,450,425
59,"Pani Kachu (100
Pieces)",2808,2883,2801,2748,3399,3517,-,-,-,446,437,2849,2997
60,"Ash Gourd (100
pieces)",2327,2464,2555,2881,2898,4363,3278,3008,3079,-,2974,2307,2842
61,Gourd (100 pieces),2573,2643,2623,3248,2837,3200,3668,3509,2516,2645,2299,2754,2867
62,Hen Local,47602,45542,43782,43426,42878,43493,41844,44373,46619,2286,2552,49818,45726
63,Farm Broiler,15389,16017,15681,16111,15561,15620,17011,17501,18018,49159,50183,1625,16796
64,Duck,40728,36678,39610,39416,42035,44262,39722,40545,41991,19405,18416,41634,41079
65,"Egg-Hen-Local (100
pieces)",1427,1554,1475,1486,1637,1490,1749,1513,2931,42774,43553,1557,1658
66,"Egg-Hen Farm-Red
(100 pieces",1058,1168,1142,1146,1045,1027,2160,1055,963,1521,1540,1148,1159
67,"Egg-Hen Farm-White
(100 pieces",1077,1166,1134,1143,1039,997,984,1006,947,936,1060,1550,1084
68,"Egg-Duck (100
pieces)",1392,1432,1488,1519,1494,1496,2167,1552,1474,917,1047,1494,1532
69,"Fruite-Orange (100
pieces)",-,-,-,2875,1390,2750,8667,8683,7019,1435,1442,22500,7982
70,"Jack Fruit (100
pieces)",5910,7106,-,-,-,3250,-,-,-,8950,9000,9191,7729
71,"Wood Apple (100
pieces)",2600,4833,-,-,-,-,2625,3127,3338,10167,10750,3511,3328
72,"Elephant Applel (100
pieces)",-,-,2438,3043,2678,2306,2453,2963,3172,3289,3298,2600,2753
73,Palmyra (100 pieces),-,3625,3036,3417,4250,-,-,-,-,3081,2800,2125,3290
74,"Water Melon (100
pieces)",-,-,-,-,-,-,-,17500,19527,-,-,15400,16989
75,"Green Coconut (100
pieces)",7277,7321,9490,7309,7241,6868,6751,7151,6616,16036,16483,7455,7316
76,"Melon (Bangi) (100
pieces)",-,-,-,-,-,-,-,6000,7063,6992,7325,6879,6582
77,Litchi (100 pieces),-,-,-,-,-,-,-,-,-,6369,6602,348,1549
78,Coconut (100 pieces),7751,7549,7809,7633,7607,7501,7880,8171,8291,-,2750,8458,7955
79,"Pineapple (joldub)
(100 pieces)",3139,3300,2350,20.38,2633,2194,4493,3629,3740,8423,8388,3086,3107
80,"Pineapple (calenga)
(100 pieces)",2549,3753,3400,3417,3542,3625,4292,4229,4292,4229,3719,3615,3718
81,"Pomelo (jambura))
(100 pieces)",2938,2493,2291,2741,3214,3306,3067,3233,3900,3900,3617,3250,3121
82,"Lemon (Kagoji) (100
pieces)",266,249,254,293,313,366,566,430,539,506,389,326,375
83,"Ripe Banana (Chapa)
(100 pieces)",261,276,290,290,286,286,273,271,294,303,296,293,285
84,"Ripe Banana (Sagor)
(100 pieces)",393,410,414,397,402,397,508,371,403,412,407,408,410
85,"Ripe Banana (Sobri)
(100 pieces)",483,481,511,503,507,491,456,429,471,475,465,468,478
86,Tamarind,12558,13022,13520,13270,13088,9806,11816,12245,12399,12392,-,12438,12414
87,Guava,4322,3892,4191,4120,3993,4568,4473,5217,4797,4835,4860,4802,4506
88,Black Berry,-,-,-,-,-,-,-,-,-,-,-,9385,9385
89,Hogplum (Amra),3216,2877-,2697,3267,2949,2413,2561,2750,2500,-,-,-,2803
90,Kul (Plum),-,-,-,-,-,8917,8192,6012,6346,6357,-,4250,6679
91,Amla,-,-,5333,7150,10188,6625,7896,7575,6903,625,-,7063,7220
92,"Carambola
(Kamrannga)",-,-,-,12375,2250,-,3250,1300,1300,-,-,-,4095
93,Lotcon,5861,-,-,-,-,-,-,-,-,-,-,6870,6366
95,Mango (Guti),3414,6208,-,-,-,-,-,-,-,-,-,5374,6203
96,Mango (Amropali),5309,5219,-,-,-,-,-,-,-,-,-,7196,4669
97,Mango (Langra),5219,7210,-,-,-,-,-,-,-,-,-,8417,6572
98,Mango (Khirshapati),5000,-,-,-,-,-,-,-,-,-,-,8792,6818
99,Mango (Fajli),4505,7000,-,-,-,-,4000,-,-,-,-,-,6198
100,Mango (Himsagor),5833,8214,-,-,-,-,-,-,-,-,-,8565,6359
101,Mango (Gopalvog),,-,-,-,-,-,-,-,-,-,-,6667,7199
102,Mango (Ashini),4300,4300,-,-,-,-,-,-,-,-,-,-,5089
103,Onion,4521,5486,720,-,-,-,-,-,-,-,-,8556,5752
104,Garlic,5526,6431,6611,8084,11079,9143,6963,8772,5881,4521,5820,7497,7194
105,Gingir,13977,18628,19376,18949,18990,20182,21284,15149,11009,13094,16595,18044,17106
