Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,1140,1056,0,0,96,2232,2072,1401,2232,1737,1497
38,Meherpur,0,170,165,0,0,0,309,289,304,309,286,304
39,Narail,0,989,941,0,1296,0,979,13093,981,979,978,981
40,Satkhira,65,3760,3585,0,122,3420,3055,6476,12905,3055,16326,"1632
5"
4,Khulna,4614,22263,20126,4721,1920,16268,41876,33923,41941,46597,62558,"5820
9"
41,Jamalpur,0,101,99,0,0,0,77,0,84,77,81,84
42,Mymensing,0,2028,1971,0,0,0,3664,0,4902,3664,3739,4902
43,Netrakona,0,0,0,0,0,0,40,5,0,40,0,0
44,Sherpur,0,92,35,0,0,0,356,32,102,356,371,102
5,Mymensing,0,2221,2105,0,0,0,4137,37,5088,4137,4191,5088
45,Bogura,0,1555,1498,0,0,0,5178,575,5178,5178,5176,5178
46,Joypurhat,0,288,277,0,0,0,1107,179,1334,1107,1334,1334
47,Naogaon,0,1569,1412,0,0,0,3569,2536,3688,3569,3601,3688
48,Natore,193,4040,3902,2086,0,1497,25713,2149,20453,27799,24274,"2195
0"
49,Chapai Nawabganj,0,136,153,0,0,0,424,618,477,424,356,477
50,Pabna,0,1646,650,0,0,0,3149,393,3130,3149,3078,3130
51,Rajshahi,24,3155,2975,440,0,466,17318,4277,17752,17758,17793,"1821
8"
52,Sirajganj,0,189,183,0,0,0,638,22,602,638,656,602
6,Rajshahi,217,12578,11050,2526,0,1963,57096,10749,52614,59622,56268,"5457
7"
53,Dinajpur,0,390,378,0,0,0,470,182,427,470,449,427
54,Gaibandha,0,142,136,0,0,0,207,24,213,207,241,213
55,Kurigram,0,178,172,0,0,0,179,3,327,179,326,327
56,Lalmonirhat,0,51,50,0,0,0,323,0,350,323,334,350
57,Nilphamari,0,61,61,0,0,0,128,9,140,128,100,140
58,Panchagarh,0,0,30,0,0,0,28,2,19,28,0,19
59,Rangpur,0,216,211,0,0,0,356,130,389,356,308,389
60,Thakurgaon,0,33,39,0,7,0,61,11,83,61,45,83
7,Rangpur,0,1071,1077,0,7,0,1752,361,1948,1752,1803,1948
61,Habiganj,0,0,0,0,0,0,40,0,0,40,0,0
62,Maulvibazar,0,0,0,0,0,0,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,0,8,0,0,0,0,0,1,0,0,1
8,Sylhet,0,0,8,0,0,0,40,0,1,40,0,1
,BANGLADESH,5132,68693,63261,8965,3393,19363,160091,87823,146288,169056,180865,165651
