(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2019,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
199,",,",Orange,"1,301","1,263","1,551","1,520","1,379","1,390","1,400","1,383","1,450","1,476","1,340","1,339",
,,,,,,,,,,,,,,,"1,399"
200,",,",Apple,"13,346","13,174","13,285","13,772","15,110","16,260","16,181","16,093","14,943","13,306","12,552","12,390",
,,,,,,,,,,,,,,,"14,201"
201,",,",Boroi,"5,634","5,095","5,229","5,862",-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,"5,455"
202,",,",Water melon,-,-,"10,620","9,867","12,555","13,198","8,438",-,-,-,-,-,
,,,,,,,,,,,,,,,"10,936"
203,Fruit :,Melon (Bangi),-,-,"4,500","4,249","4,352","2,520",-,-,-,-,-,-,
,,,,,,,,,,,,,,,"3,905"
204,",,",Ripe Papaya,"6,032","6,359","6,269","5,892","6,217","6,550","6,463","6,822","6,827","6,031","5,606","5,535",
,,,,,,,,,,,,,,,"6,217"
205,",,",Lychee,-,-,-,-,"5,445","2,985",-,-,-,-,-,-,
,,,,,,,,,,,,,,,"4,215"
206,",,",Benana : Chapa,223,227,230,237,248,271,237,221,228,232,233,235,
,,,,,,,,,,,,,,,235
207,",,",",, Sabri",376,383,380,391,438,426,409,400,396,469,436,398,
,,,,,,,,,,,,,,,409
208,",,",Benana : Sagar,303,307,310,314,393,355,343,336,327,321,324,326,
,,,,,,,,,,,,,,,330
209,",,","Paineapple:Calen
der","2,933","3,275",-,-,"2,375","2,601","3,132","3,209","3,373","3,651","3,475","3,438",
,,,,,,,,,,,,,,,"3,146"
210,",,",",, Jaldub","1,000","1,658","2,517","2,504","2,580","2,249","2,846","3,126","2,908","2,067","3,000",-,
,,,,,,,,,,,,,,,"2,405"
211,",,",Coconut,"2,928","3,011","3,026","3,138","3,266","3,641","3,138","3,090","3,124","3,187","3,183","3,193",
,,,,,,,,,,,,,,,"3,160"
212,,Dates,"18,820","18,925","18,313","18,051","16,180","15,723","15,396","16,088","15,838","15,813","17,689","16,664",
,,,,,,,,,,,,,,,"16,958"
