"2203- Beer
made from malt",Liter,8460,1529,18495,3676,8881,1660,8304,1200
"22083000-
Whiskies",Liter,15844,7559,8726,7033,17370,11963,12179,9142
"24011000-
Tobaco
N/stem/strip
F/cure N/virgna",Kg,10118155,113223,9723158,1172381,11281895,1334440,13184776,1563766
"24012000-
Tobacco
whole/part
stem/strip
virgna",Kg,12607468,2287822,11193784,2199611,13938570,3012390,13944668,3575925
"24021000-
Cigar
chroot/cigrillo
cigarete other",Kg.,278464,150280,346404,208893,248945,157444,26404,9726
"24022000
Cigarette
tobacco cont
subs or not",kg,107373,488221,113642,39281,87958,16823,61383,29485
"31021000-
Urea Aqueous
solution or not",M.ton,-,-,31000,441432,-,-,,
"4101- Raw
hides and skins
other",Kg,56983,36342,9735,5284,18992,7038,423722,48438
"41041100- Calf
leather",Kg,6097202,1197121,5730673,1024903,-,-,99371,4040
"41044100-
Leather, bovine
hides",Kg,12300976,11362173,6098262,8510774,38482,19773,7888,1685
"4105-Leather,
semi finished
sheep skin",Kg,27111,27854,47014,41783,19797,33207,241243,248884
