12129990- Betel leaves,Kg,-,-,-,-,,,,
"13023100-Balsam
Mucilages & thickeners:",Kg,206205,9232,159340,7399,109675,4833,230201,23114
14011000- Bamboo,Kg,73450,1183,124140,2188,143960,3346,164150,1843
"1401-Veg mtrl use for
plaiting: other",Kg,535,498,159340,7399,143960,3346,170150,3816
"1701- Sugarcane/beet
chem pure/solid other",M.ton,32721420,1180639,2213960,77763,7731000,306338,151155,5259
"1703- Molasses, cane
flavoured coloured",M.ton,300000,4645,20000,3528,27428,2850,166978,27815
"190410- Rice, beaten (Muri)",Kg,5744294,762433,6181611,850689,6750162,1010541,6366922,961127
"19041000 Prepared food:
other",Kg,1987790,388776,2748008,416779,2164144,408675,8595952,1365906
"19019010 Pineapple
prep/presv w/sugar or not",Kg,23280,1077,13198161,3404372,23315781,6856189,1030495,237532
"2106 Food preparations,
other",Kg,52938,6828,56240,7300,143952,1883,62416,10488
"22021000- Non-alcoholic
beverage, other nec",Liter,64122783,4480845,86190683,5646632,23596386,1165710,15120718,866585
