Commodity,"Uni
t",2015-16,,2016-17,,2017-18,,2018-19,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"Natural sponges
of",Kg,-,-,-,-,,,,
animal origin,,,,,,,,,
"05111000 Bovine
animal semen",Kg,7000,1105,30,1090,6,1935,25100,12513
"05119100 Pot
fish/crustacean
etc N/for human",Kg,8216539,281863,3395129,135280,4392591,157446,7456281,286404
"06011000- Live
plants, other incl.
their roots",Kg,-,-,-,-,8920,2099,-,-
"0701 Potatoes
fresh or chilled
seed",Kg,5632347,350420,5411703,4074978,5946526,430749,4063042,305857
"07011090
Potatoes fresh or
chilled: other",Kg,2500,101,3852,157,5925745,428995,4053723,304717
"0702 Tomatoes,
fresh or chilled",Kg,22913579,641675,33311192,992403,22292579,745659,31986714,1094814
"0703 Onion and
shallots",Kg,576093872,15352228,1098422078,14624833,1064346621,34122748,,
07032090 Garlic,Kg,38219435,3733118536,54790264,6908369,70209055,5650476,1203671711,23307910
"0707-Cucumber
gherkin
fresh/chilled",Kg,-,-,-,-,1074,137,1780,224
"0708-Peas
(pisum sativum)
fresh/chill",Kg,7881,387,76830,8374,215453,20699,53843,6334
"0709-Vegetable,
fresh or chilled:
other","Val
ue",19042141,633895,11869669,406905,18875195,667301,4060601,161527
"07132090 -Peas
shelled, skinned
or not",Kg,812119578,38254986,531363746,14809928,932150852,3767597,213159068,11605190
"07132090-Chick
peas shelled,
skinned or not",Kg,127488202,11970183,406791661,17918190,204197005,11377935,-,-
"07133590-Beans
dry shelled,
skinned or not",Kg,487375,44544,1118831,80638,13099,1770,4657,528945
"07134090-Lentils,
dried, shelled",Kg,489375,44544,407727760,24474453,269148391,12475195,441488364,15924473
skin or not,,,,,,,,,
"07139090-
Leguminous Veg
seeds, dry shelled",Kg,60,9,258382,9407,5125358,267217,2773227,160214
"08012290-
Cashew nut fresh/
dry shelld or not",Kg,32438,3441,43164,6274,1448,272,,
"08021190-
Almonds, in shell",Kg,29574,4545,4620,6059,992,187,62296,9764
"08021290-
Almonds, shelled",Kg,821556,119797,828142,126835,717076,109599,764300,118818
