Commodity,Unit,2015-16,,2016-17,,2017-18,,2018-19,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"84329000
Parts, Agri horti
mchnry exel tractor",KG,3433,126039,6815188,434290,6401324,409310,8490416,524341
"84361000
Mchnry preparing
animal feed stuff",No.,5739,2548604,5518797,2520784,11014609,4644517,6421,3451976
"843621000
Poultry-keep mchnry
incubator broodr",No.,286,164296,1113077,1015729,864603,720984,804,444230
"84362900-Poultry
farming machinery",No.,257,143660,264913,107190,874483,309370,981,362674
"84378010-Machry
other for the working
of rice",No.,4885,141285,4743039,1110525,139685,30853,1299,21085
"84379010--Parts nec
of mchnry for rice
huller",Kg,2958091,239838,2800138,263138,1907544,187792,2895801,302318
"84379090-Parts nec
of grain milling
machnry",Kg,1023989,232943,710411,116188,850143,179757,672621,2288101
"8701-Tractor
pedestrian control
Agri, wheel",No.,507,5429989,16199,7289761,31264054,7897858,62558,9158358
