Year,Aus,Aman,Boro,Wheat,Maize,Jute,Potato,"Mustard/
Oil Seed",Lentil,Pulses,"Vege-
tables",Total
1,2,3,4,5,6,7,8,9,10,11,12,13
"1977-78
1978-79
1979-80
1980-81
1981-82
1982-83
1983-84
1984-85
1985-86
1986-87
1987-88
1988-89
1989-90
1990-91
1991-92
1992-93
1993-94
1994-95
1995-96
1996-97
1997-98
1998-99
1999-00
2000-01
2001-02
2002-03
2003-04
2004-05
2005-06
2006-07
2007-08","350
739
515
503
408
550
371
234
537
502
330
480
1580
899
784
518
481
550
421
332
1001
425
330
222
207
303
346
458
472
483
477","710
480
1231
629
691
1335
1580
1877
1892
1843
2073
2391
2947
3026
2673
3025
3124
3038
4173
4532
5306
4393
6226
4508
4625
5885
5051
7232
7131
9,127
13,619","717
211
605
453
836
1088
840
1216
696
1294
1373
1835
1030
1437
2158
7492
1588
2918
4185
2875
4033
4495
7475
7618
10136
8187
12397
15054
25602
28,751
32,034","3490
4866
14022
14154
11073
13406
14005
19199
9631
12514
17624
18852
16952
16284
16285
9808
9225
15456
20893
18434
12051
17209
8473
16623
14218
12390
12438
13705
12415
18,184
16,275","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
148
455
214
163
189
160
161
356
222
243
150","-
-
-
-
-
-
-
-
-
-
-
-
-
-
386
578
587
503
354
419
273
309
209
334
324
318
304
162
467
1,018
322","2413
2739
3713
3321
3468
2614
3382
3296
4002
4012
5775
7396
7471
6257
6520
6263
6370
670
6703
7571
4720
6301
6175
6313
6977
6431
7324
7609
8702
8,278
10,013","-
-
-
-
23
66
160
49
37
58
33
99
50
84
93
163
222
310
220
252
277
240
329
304
203
202
336
419
442
545","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
18
22
29
24
26
78
80
99
115
42
33
-
170
220
232","-
-
-
-
-
-
-
-
-
-
-
-
-
-
4
47
36
32
45
64
47
52
43
46
41
32
43
139
80
338
423","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
12
21
10
12
13
12
12
76
18
40
40","7680
9035
20086
19060
16499
19059
20338
25871
16795
20223
27208
31053
29980
27953
28894
27824
21592
29443
37113
34471
27869
34015
29475
36267
37149
33963
38311
45127
55698
76,124
74,130"
