(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2019,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
164,",,",Prawn bagda,"57,150","59,088","64,641","64,109","64,364","63,016","64,525","60,382","61,167","59,950","59,091","59,925",
,,,,,,,,,,,,,,,"61,451"
165,",,",",, golda","54,914","56,917","58,511","58,799","58,163","54,175","57,525","60,016","60,235","60,343","61,267","60,525",
,,,,,,,,,,,,,,,"58,449"
166,",,",",, small","33,843","33,804","36,083","36,798","35,888","36,720","40,550","39,904","38,149","37,223","38,750","37,643",
,,,,,,,,,,,,,,,"37,113"
167,",,",Koii,"16,685","15,051","16,365","16,097","17,208","17,408","17,829","18,158","18,146","16,804","16,939","16,855",
,,,,,,,,,,,,,,,"16,962"
168,",,",Magur,"56,748","55,688","58,924","61,318","61,261","61,250","62,125","63,773","63,780","63,455","63,318","60,932",
,,,,,,,,,,,,,,,"61,048"
169,",,",Shing,"44,093","46,013","47,842","46,784","47,938","46,958","48,760","48,408","46,255","45,938","45,414","44,102",
,,,,,,,,,,,,,,,"46,542"
170,",,",Silvar curp,"11,855","12,072","12,458","13,101","13,465","13,547","13,535","13,436","13,313","13,313","13,159","13,070",
,,,,,,,,,,,,,,,"13,027"
171,",,",Grass curp,"14,043","14,255","15,167","15,588","16,096","16,134","16,226","16,249","16,154","16,006","15,928","15,542",
,,,,,,,,,,,,,,,"15,616"
172,",,",Telapia,"11,357","11,509","11,964","12,275","12,737","12,809","12,819","12,750","12,642","12,587","12,550","12,295",
,,,,,,,,,,,,,,,"12,358"
173,",,",Rupchada,"71,111","59,167","63,375","55,500","61,008","63,756","63,750","63,750","63,750","63,750","63,750","80,000",
,,,,,,,,,,,,,,,"64,389"
174,Fish(Kha)Dry,Rupchada,"156,667","133,750","172,500","171,667","215,000","215,000",-,"168,333","215,000","168,333","168,333","215,000",
,,,,,,,,,,,,,,,"181,780"
175,",,",Loitta,"44,273","42,648","42,187","43,683","44,787","45,981","45,843","45,286","45,117","47,691","48,158","47,673",
,,,,,,,,,,,,,,,"45,277"
176,",,",Puti,"35,683","36,100","24,542","35,825","35,400","37,250","37,625","37,500","36,375","34,475","36,458","38,375",
,,,,,,,,,,,,,,,"35,467"
177,",,",Prawn,"60,563","57,906","58,333","55,594","67,275","67,500","60,938","69,339","78,889","72,006","74,813","74,281",
,,,,,,,,,,,,,,,"66,453"
178,“,Kachki,"43,443","43,288","43,550","58,642","43,192","43,850","43,977","44,167","43,304","44,638","45,333","45,500",
,,,,,,,,,,,,,,,"45,240"
179,,Salted Hilsha,"60,000","60,000","56,667","43,333","53,292","48,167","56,600","50,333","60,000","49,500","72,500","72,500",
,,,,,,,,,,,,,,,"56,908"
