Commodity,Unit,2015-16,,2016-17,,2017-18,,2018-19,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"0105- Livefowl domestic
Spices - other",No.,,,-,-,-,-,-,-
0202-Meat of bovine animal,Kg,541,144,134844,49254,38005,18920-,86761,43274
,,,,,,,,10123125,3341406
0303-Eels fish frozen,Kg,8737039,2535290,52454535,2081734,8292251,2898584,,
,,-,-,-,-,-,-,,
"03037-Fish, other frozen",Kg,,,,,,,,
,,-,-,-,-,-,-,,
"03039010-90 Livers and
roes frozen",Kg,,,,,,,,
"03052-Liver/roe dry smoked
sltd in brine",Kg,5000,588,9,7,50,346,,
"0305- Fish filet dry sltd in
brine not smoked",Kg,800,158,56500,2940,11713,1985491,3150103,560879
"03054910-Sharkfins,
smoked cooked or not
salted",Kg,2240,7841,-,-,367,801,1000,16
"03055990- Fish dry salted/
in brine not smoked",Kg,272129,65619,13265418,1879111,2813624,366870,1891,260172
"030559- Fish dry unsalted,
not smoked",Kg,272129,656,-,-,,,,
"03056990- Fish salted, not
dried/smoked and fish in
brine, other.",Kg,78427,34646,5,1,193903,104159,3150103,560879
"0306- Shrimps, frozen",Kg,41839009,33708040,45296057,40778882,,,43793791,34243904
"030614- Crabs, frozen",Kg,806495,266837,248788,158999,1924298,777440,744438,2780521
"030629- Crustaceans, other,
not frozen",Kg,-,-,-,-,,,,
"0402- Milk powder
fat<=1.5%)W/sugar",Kg,519220,82960,16380,6544,8280,4146,93142,16678
"0501- Human hair unworked
wash or not & waste",Kg,10704,17186,5700,15844,95893,19686,54741,8321
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000'
Tk",Quantity,"Value
'000'
Tk"
1,2,3,4,5,6,7,8,9,10
"0504-Bladder and gut of
animal not fish",Kg,1827410,937876,1942660,1193217,1538411,1074586,1999530,1197913
"0505- Feathers used for
stuffing; down",Kg,146609,15714,125833,21751,115845,32460,161099,50662
"0506- Bones
(uncrushed)",Kg,3268600,95449,4138100,145713,1217500,44378,1426250,54907
05069- Unworked other,Value,2086000,78240,537100,5761,10210,41838,1279750,52608
"0507900 Horn antler &
similar pcs of animals",Kg,342128,14267308,187050,8655,10430,753,125250,2872
