(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2019,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
15,",,",coarse,"3,032","2,906","2,817","2,752","2,738","2,739","2,706","2,702","2,691","2,640","2,694","2,681",
,,,,,,,,,,,,,,,"2,758"
16,",,",pajam,"4,801","4,672","4,682","4,676","4,698","4,723","4,634","4,588","4,579","4,524","4,445","4,336",
,,,,,,,,,,,,,,,"4,613"
17,Rice Aus,Medium,-,-,-,-,-,-,-,-,"2,650","2,625",-,-,
,,,,,,,,,,,,,,,"2,638"
18,",,",coarse,"2,928","2,806","2,703","2,678","2,643","2,620","2,790","2,733","2,579","2,565","2,563","2,613",
,,,,,,,,,,,,,,,"2,685"
19,",,",Pajam,-,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,#DIV/0!
20,Rice boro,fine,"4,863","4,813","4,768","4,721","4,587","4,452","4,359","4,363","4,316","4,263","4,445","4,544",
,,,,,,,,,,,,,,,"4,541"
21,",,",medium,"3,806","3,776","3,696","3,655","3,478","3,383","3,363","3,341","3,315","3,258","3,355","3,425",
,,,,,,,,,,,,,,,"3,488"
22,",,",coarse,"3,080","2,995","2,869","2,813","2,740","2,660","2,656","2,651","2,641","2,575","2,602","2,658",
,,,,,,,,,,,,,,,"2,745"
23,",,",pajam,"5,128","5,017","5,021","5,022","4,847","4,750","4,768","4,663","4,754","4,494","4,576","4,360",
,,,,,,,,,,,,,,,"4,783"
24,Rice OMS,course,"3,099","3,042","3,019","3,014","2,991","2,986","2,994","2,970","2,880","2,784","2,752","2,689",
,,,,,,,,,,,,,,,"2,935"
25,Aromatic rice,Chinigura,"8,151","8,140","8,171","8,211","8,449","8,597","8,656","8,701","8,763","8,784","8,823","8,883",
,,,,,,,,,,,,,,,"8,527"
26,,Kalojira,"7,783","7,755","7,854","7,897","7,987","8,116","8,165","8,166","8,174","8,276","8,358","8,352","8,074"
27,,kataribhog,"6,253","6,281","6,295","6,284","6,324","6,365","6,455","6,512","6,392","6,373","6,337","6,394",
,,,,,,,,,,,,,,,"6,355"
28,Wheat local,red,"2,462","2,511","2,583","2,378","2,417","2,389","2,424","2,424","2,475","2,498","2,505","2,481",
,,,,,,,,,,,,,,,"2,462"
29,",,",white,"2,552","2,549","2,479","2,346","2,396","2,397","2,459","2,486","2,518","2,548","2,571","2,574",
,,,,,,,,,,,,,,,"2,490"
30,Imported,red,-,-,-,-,-,-,-,-,"2,850","2,650","2,708","2,892",
,,,,,,,,,,,,,,,"2,775"
Sl no,Name of Comodity,,Year-2019,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
31,",,",white,"2,517","2,540","2,537","2,491","2,474","2,440","2,480","2,529","2,551","2,592","2,551","2,625",
,,,,,,,,,,,,,,,"2,527"
32,Ata,loose,"2,563","2,563","2,556","2,500","2,431","2,409","2,405","2,421","2,470","2,469","2,493","2,509",
,,,,,,,,,,,,,,,"2,483"
33,",,",Packet,"2,999","3,014","3,003","2,993","2,993","2,979","2,981","2,984","2,992","2,990","2,994","2,985",
,,,,,,,,,,,,,,,"2,992"
34,flour,loose,"3,206","3,196","3,189","3,155","3,128","3,118","3,106","3,110","3,118","3,103","3,153","3,234",
,,,,,,,,,,,,,,,"3,151"
35,",,",packet,"4,056","4,020","4,038","4,043","4,010","4,062","4,058","4,057","4,072","4,080","4,082","4,112",
,,,,,,,,,,,,,,,"4,057"
36,Maize,-,"1,882","1,888","1,881","1,734","1,665","1,583","1,595","1,710","1,785","1,813","1,849","1,934",
,,,,,,,,,,,,,,,"1,777"
37,Kalai,mash,5604,5534,"5,505",5661,"5,748","5,881","6,055","6,059","6,172","6,285","6,563","6,875",
,,,,,,,,,,,,,,,"5,995"
38,",,",mashur,4880,5158,"5,218",5392,"5,761","5,987","6,146","6,195","6,425","6,306","6,297","6,328",
,,,,,,,,,,,,,,,"5,841"
39,",,",mug,7346,7461,"7,461",7525,"7,463","7,311","7,603","7,692","7,833","7,756","7,880","8,088",
,,,,,,,,,,,,,,,"7,618"
40,",,",Chola,6711,6866,"6,898",6938,"7,021","6,931","6,867","6,722","6,574","6,571","6,616","6,659",
,,,,,,,,,,,,,,,"6,781"
41,",,",Motor local,3034,3388,"3,307",3411,"3,497","3,476","3,346","3,392","3,382","3,446","3,414","3,408",
,,,,,,,,,,,,,,,"3,375"
42,",,",Motor foreign,3034,3388,"3,307",3411,"3,497","3,476","3,346","3,392","3,382","3,446","3,414","3,408",
,,,,,,,,,,,,,,,"3,375"
43,",,",kheshari,3004,3043,"3,081",3227,"3,568","3,573","3,657","3,649","3,554","3,674","3,875","3,880",
,,,,,,,,,,,,,,,"3,482"
44,Dal,Mash gota,7062,7230,"7,211",7279,"7,391","7,407","7,492","7,767","7,873","7,739","8,023","8,349",
,,,,,,,,,,,,,,,"7,569"
45,",,",Broken,7248,7251,"7,203",7251,"7,523","7,600","7,658","7,860","7,870","7,948","8,389","8,870","7,722"
46,",,","Mashur local
gota",8133,8272,"8,385",8411,"8,784","9,043","9,312","9,476","9,466","9,518","9,923","9,674",
,,,,,,,,,,,,,,,"9,033"
Per Quintal/Taka),,,,,,,,,,,,,,,
