Variety,2017-18,2018-19,"Percentage
changes over
previous year"
,"Total Production
(M.Ton)",Total Production (M.Ton),
Local Potato,"8,73,606","8,51,802",(-) 2.50 %
High Yielding Variety,"88,70,806","88,03,280",(-) 0.76 %
Total Potato,"97,44,412","96,55,082",(-) 0.92 %
