Commodity,Unit,2015-16,,2016-17,,2017-18,,2018-19,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"1205 Rape seed
broken or not",Kg,276800918,9775443,144367726,5968433,138486277,5420216,144280440,5715196
"12075090 Mustard
seeds broken or not",Kg,15735737,634159,16375469,692720,20098041,979196,16232250,797228
"1207 Oil seeds,
other",Kg,3459,254,6143,260,107324,4638,16458639,867513
"1208 Flours/meal of
other oil seeds nec",Kg,77211,3866,444707,23394,582839,35811,57531,37305
"12091000Beet seed
for sowing, other",Kg,3780,3533,2309,1262,1373,5321,,23
"12099100Vegetable
seeds for sowing",Kg,1080921,1285454,1200010,1613596,1569401,1753761,1674723,1725494
"12099900 Seeds,
for sowing other",Kg,6326585,850364,6222852,1254570,4393552,846312,6485277,1415987
"1211 Plant & part
etc use in
perfumery",Kg,4051,17300,1054,9219,20830274,1417352,21612217,1652515
"12119019 Plant &
part herb etc for
medicine",Kg,3702978,22170,9010816,964067,24143,1922,181524,11498
"12119091 Plant &
part for insecticidal
etc",Value,18357,965,85935,9900,74231,7629,102380,9930
"13021900
Vegetable saps &
extract: other",Kg,39899,77686,35674,92376,55939,144613,54981,163720
"13023100
Mucilages &
thickners:",Kg,32940,47778,20533,19775,9616,11794,16580,17722
"14049091
Vegetable products,",kg,42811,3637,36355,3001,142283,14670,71965,7558
"other, nec
degummed or not",kg,-,-,-,-,,,,
1507 Soyabean oil/,Kg,1285331032,73169474,1675864708,106530180,1667775301,109596349,1935064747,114490388
fractions other,,,,,,,,,
"1508 Groundnut
oil/fraction",Kg,19947,7634,18045,6887,19040,7076,2524797,9051
"1591000 other
Olive oil, virgin",Kg,125795,36611,138492,41145,194955,58984,290171,81009
"15099000 Olive
oil/fraction: other",Kg,427699,60153,422269,72894,451278,88959,631989,114540
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
15111000 Palm oil crude,Kg,56694548,3190400,2945438683,166538979,20302279,1183277,342921015,16752311
"1511904 Palm oil/fractions,other",Kg,2993117641,144771641,78813090,4472918,26637633,1654930,,
15131100 Coconut (copra) oil/,Kg,2168329,209294,1282140,168077,60,12,2456801,180150
75131900 fraction other,,,,,,575855,84344,1001865,141643
15132100 Palm kernel or,Kg,11492689,878794,9733750,1195704,9242187,1077316,8956808,862397
"babassu oil, crude",,,,,,,,,
15132900 Palm kernel/babasu,Kg,4007762,273446,5418364,611470,4723197,665168,4276507,616167
oil/frcton other,,,,,,,,,
15153000 Castor oil and its fraction,Kg,272721,53971,285091,75046,236437,86412,268473,98670
15155000 Sesame oil and its fraction,Kg,82130,9419,40048,4061,90804,12882,136385,21714
15162000 Veg fat oil/fraction hydrogenated,Kg,7900931,692474,1021969,1098658,12832325,1399572,13482110,1404040
15161000 Animal/veg oil fat boil oxid other,Kg,491507,20016,1195743,55703,1213255,53728,546828,28985
1520 Glycerol (glycerine) crude,Liter,163,55,321,97,759,235,,236
15211000 Vegetable waxes refine/colour or not,Kg,36760,16683,20869,9036,37784,17074,48980,17085
15219000 Beeswax and other insect waxs,Kg,9943,5421,11958,10006,18612,6709,13235,9092
17011400 Cane sugar raw not add flavor/color,M.ton,2042599372,54416271,2436110,88554482,2296049,71300242,2295029093,68301991
17011200 Beet sugar raw not add flavor/color,M.ton,-,4,1,69,19806,2257,,22
"17019900 Sugar cane/beet chem pure/solid
other",M.ton,8575600,371880,14911,785752,127238990,5179024,19714264,816637
"17021900 Sugar: Lactose, solid form",kg,34259,13312,100206,48737,56245,44523,109714,81531
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"17023090 Sugar
glucose solid <20%
fructose",Kg,1730127,72128,2202983,106165,2207844,113367,17506537,87170
"17026000 Sugar:
glucose syrup
<=20% fructose",Kg,2055,344,1656,1146,8907,1075,13338,3180
"17024000 Sugar:
fructose/syrup 50% +
other",Kg,65833,3688,29673,2118,3,22,9719,945
"17041000 Chewing
gum (sugar coated
or not)",Kg,141835,17434,147393,27442,62882,15287,,84
"1805Cocoa powder
not added
sugar/sweet",Kg,918077,122112,1312722,177857,1527146,2260006,1784010,248725
"1806 Chocolate/food
prep contain coca",Kg,3200975,575894,4219413,889626,3386775,905059,2570309,707489
"19011000 Malt/other
prep for infant/invalid",Kg,6365534,2497608,7763546,2928948,7589907,3051409,8014404,3123308
"1901901 Malt extract
not for retail sale",Kg,3816161,554089,12560568,1950179,6310786,101663,12534733,2070242
"1903 Tapioca subst
from potato, other",Kg,7135677,346696,9333385,459989,6455782,329030,8199664,426850
"19053100 Sweet
biscuits,waffles &
wafers",Kg,134022,32851,187338,46785,234303,51562,241613,70990
"2006 Fruit nut fruit
peel prsrv by sugr",Kg,76737,5270,163268,14345,19810,15588,287943,18946
"2007 Jam fruit jelly
marma- led fruit cook",Kg,267762,29574,185769,47093,135784,39635,120401,33328
"20084000 -Pears
prep/prsrv /sugar or
not",Kg,2178,100,3862,781,1805,479,1148,256
"20091100 Orange
juice other nec",Liter,82993,8730,90363,15167,48196,8248,30919,6521
"20099000 Mixture of
fruit juice",Liter,728311,38876,819839,104483,527647,69885,773362,101714
"2102100 Active
yeasts",Kg,4385787,686594,4952787,763902,4799470,757972,4839141,783553
"21023000 Prepared
baking powders",Kg,210433,15929,401180,34048,581837,67588,566130,77748
"21039090 Sauces
and preparation,
other",Kg,4554231,734973,267655,32932,2708218,890457,2358061,342029
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"2104 Soup
homogenise
composite food
prep",Kg,567482,114673,576738,131498,725257,169814,679136,154610
"2105 Ice cream/Ice
cont cocoa or not",Kg,68876,31843,27833,19760,29414,21058,38993,28459
"2106 Food
preparation, other",Kg,10343215,4662944,5370497,1296924,14973866,5481505,26972929,6743178
"22019000-Water,
nec",Liter,222446,10684,405546,20696,394537,24215,237167,16368
"22021000-Mineral
water cont
sugar/sweet/flvr",Liter,210124,16104,450435,36002,209834,18893,305607,20567
