"Sl.
No.",Species,"Production
(Metric Ton)",%
1,Rui(Labeo rohita),7.83,0.08
2,Catla(Catla catla),16.09,0.16
3,Mrigal(Cirrhinus cirrhosus),1.84,0.02
4,Kalibaus(Labeo calbasu),36.80,0.36
5,Bata(Labeo Bata),12.09,0.12
6,Ghonia(Labeo gonius),0.07,0.00
7,Silver Carp(Hypophthalmichthys molitrix),0.46,0.00
8,Grass Carp(Ctenopharyngodon idella),2.30,0.02
9,Common Carp(Cyprinus carpio),0.00,0.00
10,Other Exotic Carp,0.00,0.00
11,Pangas(Pangasius pangasius),0.00,0.00
12,Boal/Air/Guizza Air(Wallago attu/ Sperata aor / Sperata seenghala),153.07,1.51
13,Shol/Gazar/Taki(Channa striatus/C. marulius/C. punctatus),18.39,0.18
14,Koi (Anabas testudineus),0.00,0.00
15,Singi/Magur(Heteropneustes fossilis/Clarias batrachus),10.48,0.10
16,Big Prawn,102.04,1.01
17,Small Prawn,0.00,0.00
18,Tilapia/Nilotica(Oreochromis mossambicus/ O. niloticus),10.42,0.10
19,Sarpunti(Puntius sarana),0.00,0.00
20,Other Fish,9780.44,96.34
T O T A L,,10152.32,100.00
